Species,Month,Site,WRAP,mass,length
Fathead Minnow,1_15_June,Beck,72,4.3,63
Fathead Minnow,1_15_June,Beck,72,3.7,58
Fathead Minnow,1_15_June,Beck,72,3.54,56
Fathead Minnow,1_15_June,Beck,72,3.49,55
Fathead Minnow,1_15_June,Beck,72,2.9,54
Fathead Minnow,1_15_June,Beck,72,2.71,49
Fathead Minnow,2_15_July,Beck,73,2.6,50
Fathead Minnow,4_16_June,Buffalo Lake,73,2.55,55
Fathead Minnow,3_16_May,Eriksrud,67.5,1.18,41
Fathead Minnow,4_16_June,Eriksrud,68,3.79,55
Fathead Minnow,4_16_June,Eriksrud,68,2.86,62
Fathead Minnow,4_16_June,Eriksrud,68,2.78,55
Fathead Minnow,4_16_June,Eriksrud,68,2.63,55
Fathead Minnow,4_16_June,Eriksrud,68,2.37,54
Fathead Minnow,4_16_June,Eriksrud,68,2.26,50
Fathead Minnow,4_16_June,Eriksrud,68,2.23,55
Fathead Minnow,4_16_June,Eriksrud,68,2.21,55
Fathead Minnow,4_16_June,Eriksrud,68,1.86,49
Fathead Minnow,4_16_June,Eriksrud,68,1.39,47
Fathead Minnow,1_15_June,Fods Slough,65,1.29,39
Fathead Minnow,5_16_July,Fods Slough,63.5,0.42,28
Fathead Minnow,2_15_July,Fods Slough ,66,1.37,41
Fathead Minnow,2_15_July,Fods Slough ,66,0.45,28
Fathead Minnow,2_15_July,Fods Slough ,66,0.3,27
Fathead Minnow,3_16_May,Gerdink,48,2,50
Fathead Minnow,3_16_May,Gerdink,48,1.7,47
Fathead Minnow,3_16_May,Gerdink,48,1.5,47
Fathead Minnow,3_16_May,Gerdink,48,1.4,44
Fathead Minnow,3_16_May,Gerdink,48,1.4,45
Fathead Minnow,3_16_May,Gerdink,48,1.3,45
Fathead Minnow,3_16_May,Gerdink,48,1.2,43
Fathead Minnow,3_16_May,Gerdink,48,1.1,43
Fathead Minnow,3_16_May,Gerdink,48,1,44
Fathead Minnow,3_16_May,Gerdink,48,0.9,39
Fathead Minnow,4_16_June,Gerdink,50.5,3.34,56
Fathead Minnow,4_16_June,Gerdink,50.5,3.3,57
Fathead Minnow,4_16_June,Gerdink,50.5,2.82,52
Fathead Minnow,4_16_June,Gerdink,50.5,2.72,55
Fathead Minnow,4_16_June,Gerdink,50.5,2.2,49
Fathead Minnow,4_16_June,Gerdink,50.5,2.04,47
Fathead Minnow,4_16_June,Gerdink,50.5,1.74,47
Fathead Minnow,5_16_July,Gerdink,47,0.35,27
Fathead Minnow,5_16_July,Gerdink,47,0.31,26
Fathead Minnow,2_15_July,Habeger,63.5,1.97,52
Fathead Minnow,2_15_July,Habeger,63.5,1.5,44
Fathead Minnow,2_15_July,Habeger,63.5,1.44,42
Fathead Minnow,2_15_July,Habeger,63.5,0.6,43
Fathead Minnow,2_15_July,Habeger,63.5,0.57,35
Fathead Minnow,3_16_May,Habeger,61.5,4.5,62
Fathead Minnow,3_16_May,Habeger,61.5,4.1,59
Fathead Minnow,3_16_May,Habeger,61.5,3.8,59
Fathead Minnow,3_16_May,Habeger,61.5,3.7,55
Fathead Minnow,3_16_May,Habeger,61.5,3.2,54
Fathead Minnow,3_16_May,Habeger,61.5,2.4,51
Fathead Minnow,3_16_May,Habeger,61.5,2.1,47
Fathead Minnow,3_16_May,Habeger,61.5,1.9,48
Fathead Minnow,3_16_May,Habeger,61.5,1.3,40
Fathead Minnow,3_16_May,Habeger,61.5,1.1,40
Fathead Minnow,3_16_May,Habeger,61.5,0.9,38
Fathead Minnow,4_16_June,Habeger,62,3.08,50
Fathead Minnow,4_16_June,Habeger,62,2.45,52
Fathead Minnow,4_16_June,Habeger,62,2.31,51
Fathead Minnow,4_16_June,Habeger,62,2.24,49
Fathead Minnow,4_16_June,Habeger,62,2.17,49
Fathead Minnow,4_16_June,Habeger,62,2.12,50
Fathead Minnow,4_16_June,Habeger,62,1.83,46
Fathead Minnow,4_16_June,Habeger,62,1.49,44
Fathead Minnow,4_16_June,Habeger,62,1.26,42
Fathead Minnow,4_16_June,Habeger,62,1.26,42
Fathead Minnow,5_16_July,Habeger,65,1.78,46
Fathead Minnow,5_16_July,Habeger,65,1.47,43
Fathead Minnow,5_16_July,Habeger,65,1.32,43
Fathead Minnow,5_16_July,Habeger,65,1.3,41
Fathead Minnow,5_16_July,Habeger,65,1.22,42
Fathead Minnow,5_16_July,Habeger,65,1.12,39
Fathead Minnow,5_16_July,Habeger,65,0.84,32
Fathead Minnow,5_16_July,Habeger,65,0.46,29
Fathead Minnow,5_16_July,Habeger,65,0.44,28
Fathead Minnow,5_16_July,Habeger,65,0.42,28
Fathead Minnow,1_15_June,Healy Slough,70,5.84,63
Fathead Minnow,1_15_June,Healy Slough,70,5.68,56
Fathead Minnow,1_15_June,Healy Slough,70,3.79,56
Fathead Minnow,1_15_June,Healy Slough,70,3.61,58
Fathead Minnow,1_15_June,Healy Slough,70,3.32,55
Fathead Minnow,2_15_July,Healy Slough,72,4.11,70
Fathead Minnow,2_15_July,Healy Slough,72,3.85,68
Fathead Minnow,2_15_July,Healy Slough,72,3.7,65
Fathead Minnow,2_15_July,Healy Slough,72,3.54,60
Fathead Minnow,2_15_July,Healy Slough,72,2.63,61
Fathead Minnow,3_16_May,Healy Slough,67,2.2,55
Fathead Minnow,3_16_May,Healy Slough,67,1.53,52
Fathead Minnow,4_16_June,Healy Slough,69,4,60
Fathead Minnow,2_15_July,Petri II,63.5,5.48,65
Fathead Minnow,2_15_July,Petri II,63.5,3.73,57
Fathead Minnow,2_15_July,Petri II,63.5,2.77,49
Fathead Minnow,2_15_July,Petri II,63.5,2.56,62
Fathead Minnow,2_15_July,Petri II,63.5,2.19,57
Fathead Minnow,3_16_May,Petri II,60,4.1,58
Fathead Minnow,3_16_May,Petri II,60,4.1,54
Fathead Minnow,3_16_May,Petri II,60,4,57
Fathead Minnow,3_16_May,Petri II,60,3.67,55
Fathead Minnow,3_16_May,Petri II,60,3.43,55
Fathead Minnow,3_16_May,Petri II,60,3.4,55
Fathead Minnow,3_16_May,Petri II,60,3.3,52
Fathead Minnow,3_16_May,Petri II,60,2.5,50
Fathead Minnow,3_16_May,Petri II,60,2.5,52
Fathead Minnow,3_16_May,Petri II,60,2.4,38
Fathead Minnow,4_16_June,Petri II,59,5,58
Fathead Minnow,4_16_June,Petri II,59,4.5,55
Fathead Minnow,4_16_June,Petri II,59,4.4,57
Fathead Minnow,4_16_June,Petri II,59,4.4,58
Fathead Minnow,4_16_June,Petri II,59,4.2,59
Fathead Minnow,4_16_June,Petri II,59,4.1,51
Fathead Minnow,4_16_June,Petri II,59,4.1,57
Fathead Minnow,4_16_June,Petri II,59,3.9,56
Fathead Minnow,4_16_June,Petri II,59,3.4,51
Fathead Minnow,4_16_June,Petri II,59,3.2,52
Fathead Minnow,5_16_July,Petri II,54.5,3.5,61
Fathead Minnow,5_16_July,Petri II,54.5,3.33,58
Fathead Minnow,5_16_July,Petri II,54.5,3.16,52
Fathead Minnow,5_16_July,Petri II,54.5,2.98,55
Fathead Minnow,5_16_July,Petri II,54.5,2.79,53
Fathead Minnow,5_16_July,Petri II,54.5,2.76,54
Fathead Minnow,5_16_July,Petri II,54.5,2.61,51
Fathead Minnow,5_16_July,Petri II,54.5,2.48,49
Fathead Minnow,5_16_July,Petri II,54.5,2.02,45
Fathead Minnow,5_16_July,Petri II,54.5,1.14,49
Fathead Minnow,1_15_June,Pittenger,74.5,2.95,53
Fathead Minnow,1_15_June,Pittenger,74.5,2.87,53
Fathead Minnow,1_15_June,Pittenger,74.5,2.21,49
Fathead Minnow,1_15_June,Pittenger,74.5,2.07,47
Fathead Minnow,1_15_June,Pittenger,74.5,1.85,46
Fathead Minnow,1_15_June,Pittenger,74.5,1.67,44
Fathead Minnow,2_15_July,Pittenger,79.5,0.84,38
Fathead Minnow,2_15_July,Pittenger,79.5,0.61,32
Fathead Minnow,3_16_May,Ramsey,56.5,4.7,59
Fathead Minnow,3_16_May,Ramsey,56.5,3.5,57
Fathead Minnow,3_16_May,Ramsey,56.5,3.3,55
Fathead Minnow,3_16_May,Ramsey,56.5,3.2,52
Fathead Minnow,3_16_May,Ramsey,56.5,3.2,51
Fathead Minnow,3_16_May,Ramsey,56.5,3.1,53
Fathead Minnow,3_16_May,Ramsey,56.5,3.1,55
Fathead Minnow,3_16_May,Ramsey,56.5,2.6,50
Fathead Minnow,3_16_May,Ramsey,56.5,2.5,52
Fathead Minnow,3_16_May,Ramsey,56.5,1.8,44
Fathead Minnow,4_16_June,Ramsey,61.5,4.24,58
Fathead Minnow,4_16_June,Ramsey,61.5,3.66,57
Fathead Minnow,4_16_June,Ramsey,61.5,3.57,56
Fathead Minnow,4_16_June,Ramsey,61.5,2.9,52
Fathead Minnow,4_16_June,Ramsey,61.5,2.75,51
Fathead Minnow,4_16_June,Ramsey,61.5,2.43,49
Fathead Minnow,4_16_June,Ramsey,61.5,1.95,49
Fathead Minnow,4_16_June,Ramsey,61.5,1.9,45
Fathead Minnow,4_16_June,Ramsey,61.5,1.86,50
Fathead Minnow,4_16_June,Ramsey,61.5,1.78,40
Fathead Minnow,5_16_July,Ramsey,62,4.11,58
Fathead Minnow,5_16_July,Ramsey,62,3.83,62
Fathead Minnow,5_16_July,Ramsey,62,3.66,55
Fathead Minnow,5_16_July,Ramsey,62,3.58,57
Fathead Minnow,5_16_July,Ramsey,62,3.55,56
Fathead Minnow,5_16_July,Ramsey,62,3.48,59
Fathead Minnow,5_16_July,Ramsey,62,2.57,53
Fathead Minnow,5_16_July,Ramsey,62,2.54,52
Fathead Minnow,5_16_July,Ramsey,62,2.09,48
Fathead Minnow,5_16_July,Ramsey,62,1.91,41
Fathead Minnow,1_15_June,Schaefer,63.5,4.04,28
Fathead Minnow,1_15_June,Schaefer,63.5,3.33,26
Fathead Minnow,1_15_June,Schaefer,63.5,3.19,55
Fathead Minnow,1_15_June,Schaefer,63.5,3.09,53
Fathead Minnow,1_15_June,Schaefer,63.5,3.04,54
Fathead Minnow,1_15_June,Schaefer,63.5,2.11,49
Fathead Minnow,2_15_July,Schaefer,59,3.8,56
Fathead Minnow,2_15_July,Schaefer,59,3.72,56
Fathead Minnow,2_15_July,Schaefer,59,3.29,55
Fathead Minnow,2_15_July,Schaefer,59,2.95,54
Fathead Minnow,2_15_July,Schaefer,59,2.62,53
Fathead Minnow,3_16_May,Schaefer,61,4.1,64
Fathead Minnow,3_16_May,Schaefer,61,4.1,64
Fathead Minnow,3_16_May,Schaefer,61,3.3,61
Fathead Minnow,3_16_May,Schaefer,61,3.2,60
Fathead Minnow,3_16_May,Schaefer,61,3.2,60
Fathead Minnow,3_16_May,Schaefer,61,2.9,61
Fathead Minnow,3_16_May,Schaefer,61,2.9,52
Fathead Minnow,3_16_May,Schaefer,61,2.4,56
Fathead Minnow,3_16_May,Schaefer,61,2.2,56
Fathead Minnow,3_16_May,Schaefer,61,2.1,54
Fathead Minnow,3_16_May,Schaefer,61,1.91,58
Fathead Minnow,4_16_June,Schaefer,62.5,4.13,60
Fathead Minnow,4_16_June,Schaefer,62.5,3.96,59
Fathead Minnow,4_16_June,Schaefer,62.5,3.94,59
Fathead Minnow,4_16_June,Schaefer,62.5,3.87,49
Fathead Minnow,4_16_June,Schaefer,62.5,3.53,56
Fathead Minnow,4_16_June,Schaefer,62.5,3.37,54
Fathead Minnow,4_16_June,Schaefer,62.5,3.15,51
Fathead Minnow,4_16_June,Schaefer,62.5,3.02,49
Fathead Minnow,4_16_June,Schaefer,62.5,2.5,49
Fathead Minnow,4_16_June,Schaefer,62.5,2.37,47
Fathead Minnow,5_16_July,Schaefer,62,0.76,35
Fathead Minnow,5_16_July,Schaefer,62,0.75,30
Fathead Minnow,5_16_July,Schaefer,62,0.66,29
Fathead Minnow,5_16_July,Schaefer,62,0.49,27
Fathead Minnow,5_16_July,Schaefer,62,0.45,29
Fathead Minnow,5_16_July,Schaefer,62,0.31,28
Fathead Minnow,5_16_July,Schaefer,62,0.3,23
Fathead Minnow,5_16_July,Schaefer,62,0.29,24
Fathead Minnow,5_16_July,Schaefer,62,0.25,21
Fathead Minnow,2_15_July,Swartz,59.5,0.56,35
Fathead Minnow,3_16_May,Swartz,56.5,5.8,68
Fathead Minnow,3_16_May,Swartz,56.5,4.3,59
Fathead Minnow,3_16_May,Swartz,56.5,4.2,62
Fathead Minnow,3_16_May,Swartz,56.5,4.1,59
Fathead Minnow,3_16_May,Swartz,56.5,4,56
Fathead Minnow,3_16_May,Swartz,56.5,3.8,58
Fathead Minnow,3_16_May,Swartz,56.5,3.6,54
Fathead Minnow,3_16_May,Swartz,56.5,3.2,52
Fathead Minnow,3_16_May,Swartz,56.5,3.1,49
Fathead Minnow,3_16_May,Swartz,56.5,3.1,52
Fathead Minnow,3_16_May,Swartz,56.5,2.4,45
Fathead Minnow,4_16_June,Swartz,60.5,3.8,53
Fathead Minnow,4_16_June,Swartz,60.5,3.7,56
Fathead Minnow,4_16_June,Swartz,60.5,3.4,58
Fathead Minnow,4_16_June,Swartz,60.5,3.2,50
Fathead Minnow,4_16_June,Swartz,60.5,3,52
Fathead Minnow,4_16_June,Swartz,60.5,2.8,50
Fathead Minnow,4_16_June,Swartz,60.5,2.7,52
Fathead Minnow,4_16_June,Swartz,60.5,2.7,52
Fathead Minnow,4_16_June,Swartz,60.5,2.7,47
Fathead Minnow,4_16_June,Swartz,60.5,2.5,48
Fathead Minnow,4_16_June,Swartz,60.5,2,44
Fathead Minnow,4_16_June,Swartz,60.5,1.5,42
Fathead Minnow,4_16_June,Swartz,60.5,1.1,44
Fathead Minnow,4_16_June,Swartz,60.5,0.5,28
Fathead Minnow,5_16_July,Swartz,61.5,0.42,30
Fathead Minnow,5_16_July,Swartz,61.5,0.26,20
Fathead Minnow,1_15_June,Ziegler,63.5,5.61,63
Fathead Minnow,1_15_June,Ziegler,63.5,4.42,60
Fathead Minnow,1_15_June,Ziegler,63.5,4.27,60
Fathead Minnow,1_15_June,Ziegler,63.5,4.02,57
Fathead Minnow,1_15_June,Ziegler,63.5,3.65,47
Fathead Minnow,1_15_June,Ziegler,63.5,2.21,46
Fathead Minnow,1_15_June,Ziegler,63.5,2.05,46
Fathead Minnow,2_15_July,Ziegler,67,1.09,40
Fathead Minnow,2_15_July,Ziegler,67,0.95,36
Fathead Minnow,2_15_July,Ziegler,67,0.91,45
Fathead Minnow,2_15_July,Ziegler,67,0.81,44
Fathead Minnow,2_15_July,Ziegler,67,0.61,35
Fathead Minnow,3_16_May,Ziegler,65.5,4.8,62
Fathead Minnow,3_16_May,Ziegler,65.5,3.5,61
Fathead Minnow,3_16_May,Ziegler,65.5,3.2,51
Fathead Minnow,3_16_May,Ziegler,65.5,3,51
Fathead Minnow,3_16_May,Ziegler,65.5,2.9,50
Fathead Minnow,3_16_May,Ziegler,65.5,2.7,45
Fathead Minnow,3_16_May,Ziegler,65.5,2.23,47
Fathead Minnow,3_16_May,Ziegler,65.5,2.2,45
Fathead Minnow,3_16_May,Ziegler,65.5,2.1,42
Fathead Minnow,3_16_May,Ziegler,65.5,1.2,41
Fathead Minnow,4_16_June,Ziegler,64,1.77,49
Fathead Minnow,4_16_June,Ziegler,64,1.4,47
Fathead Minnow,4_16_June,Ziegler,64,1.19,42
Fathead Minnow,4_16_June,Ziegler,64,1,43
Fathead Minnow,4_16_June,Ziegler,64,0.82,30
Fathead Minnow,4_16_June,Ziegler,64,0.51,49
