Black Bullhead,Brook Stickleback,Common Carp,Fathead Minnow,Green Sunfish,Iowa Darter,Yellow Perch
0.041666667,0,0,0,0,0,0
0,0,0,4.666666667,0,0.041666667,0
0,0,0,1.5,0,0,0
0,0,0,0.041666667,0,0,0
0.041271151,0,0,0,0,0,0
0.051626226,0.103252452,0,0,0,0,0
0,0.772727273,0,0,0,0,0
0,0.047619048,0,0,0,0,0
0,2.428571429,0,0,0,0,0
0,1.952380952,0,0,0,0,0
0,8.458333333,0,0,0,3.5,0
0,4.25,0,0,0,2.708333333,0
0,0.041666667,0,0,0,0,0
0,0,0,0.040567951,0.040567951,0,0
0,0.210526316,0,0.084210526,0,0.042105263,0
0,0.631578947,0,1.347368421,0,1.052631579,0
0,1.094736842,0,0,0,0.378947368,0
0,0.168421053,0,0,0,0.042105263,0
0,0,0,0.0509684,0,0,0
0,0,0,0.101936799,0,0,0
0,0.509683996,0,0,0,0,0
0.133333333,0,0,0,0,0,0
0,0,0,0,0,0,0.444444444
0,0,0,0,0,0,0.031746032
0,0,0,0,0,0,0.040683483
0,0.036589828,0,0,0,0,0
0,0.036589828,0,0,0,0,0
0,0,0,0.475667764,0,0,0
0,0,0,0.053821313,0,0,0
0,0.807319699,0,0.322927879,0.053821313,0,0
0,8.665231432,0,0,0,0,0
0,2.960172228,0,0.053821313,0,0,0
0,0.020833333,0,0,0,0,0
0,0,0,0.291666667,0,0,0
0,0,0,2.125,0,0,0
0,0,0,0.047732697,0,0,0
0,0.085106383,0,0,0,0,0
0,0,0,0.62052506,0,0,0
0,0,0,0.334128878,0,0,0
0,0,0,0.047732697,0,0,0
0,0,0,0.042553191,0,0,0
0,1.253263708,0,0.992167102,0,0,0
0,2.088772846,0,0.992167102,0,0,0
0,6.997389034,0,0.46997389,0,0,0
0,0,0,0.198412698,0,0,0
0,0.03968254,0,2.976190476,0,0,0
0,0.079365079,0,0.277777778,0,0,0
0,0.079365079,0,0.674603175,0,0,0
0.083333333,0,0,0.041666667,0.083333333,0,0
0,0.083333333,0,0.916666667,0,0,0
0,0.041666667,0,0.916666667,0,0,0
0,0,0,0.041666667,0,0,0
0,0,0,0.083333333,0.083333333,0,0
0,0,0,0.039093041,0,0,0
0,0,0,0,0.042698548,0,0
0,5.166524338,0,0.683176772,0,0.128095645,0
0,4.184457728,0,1.793339026,0.042698548,0.170794193,0
0,3.714773698,0,1.067463706,0.042698548,0.128095645,0
0,1.836037575,0,2.348420154,0,0.213492741,0
0,0,0,0.034188034,0,0,0
0,0,0,8.205128205,0,0,0
0,0,0,0.034188034,0,0,0
0,0,0,0.205128205,0,0,0
0,0,0,0.170940171,0,0,0
0,0,0,0.067046597,0,0,0
0,0,0,3.955749246,0,0,0
0,0,0,2.849480389,0,0,0
0,0,0,1.005698961,0,0,0
0,0,0,5.885036496,0,0,0
0,0,0,7.116788321,0,0,0
0,0,0,7.801094891,0,0,0
0,0.041666667,0,0.333333333,0,0,0
0,2.458333333,0,0.541666667,0,0,0
0,1.729166667,0,0,0,0,0
0,2.666666667,0,0.208333333,0,0,0
0,3.382663848,0,0,0,0,0
0,0.105708245,0,0,0,0,0
0,0.317124736,0,0,0,0,0
0,0.571428571,0,0,0,0,0
0,0.714285714,0,0,0,0,0
0,0.285714286,0,0,0,0,0
0,0.357142857,0,0,0,0,0
0,0,0,0.04040404,0,0,0
0,0,0,0.080808081,0,0,0
0,0,0,0.525252525,0,0,0
0,0,0,0.121212121,0,0,0
0,0.04040404,0,3.797979798,0,0,0
0,0.04040404,0,6.424242424,0,0,0
0.107933081,0,0,0,0,0,0
0,0,0,0.107933081,0,0,0
0,0,0,9.336211549,0,0,0
0,0,0,6.637884512,0,0,0
0,0,0,9.606044253,0,0,0
0,0,0,13.49163519,0,0,0
0,0,0,0,0.105708245,0,0
0.052854123,0,0,0,0.634249471,0,0
0,0,0,0.21141649,0,0,0
0,0,0,1.109936575,0,0.105708245,0
0,0,0,1.104166667,0,0,0
0,0,0,0.3125,0,0,0
0,0,0,0.3125,0,0,0
0.020833333,0,0,5.541666667,0,0,0
0,0,0,1.923076923,0,0,0
0,0,0,2.635327635,0,0,0
0,0,0,3.846153846,0,0,0
0,0,0,2.742165242,0,0,0
0.037383178,0,0,0,0,0,0
0,0,0,0.037383178,0,0,0
0,0,0,4.14953271,0,0,0
0,0,0,1.570093458,0,0,0
0,0,0,0.747663551,0,0,0
0,0,0,0.672897196,0,0,0
0,0,0,0.043668122,0,0,0
0,0,0,0.218340611,0,0,0
0,0,0,0.174672489,0,0,0
0,0,0,0,0,0.020833333,0
0,0,0,0.041666667,0,0,0
0,0,0.145833333,0,0,0.020833333,0
0,0,0,6.428571429,0,0,0
0,0,0,2.619047619,0,0,0
0,0,0,1.19047619,0,0,0
0,0,0,3.095238095,0,0,0
0,0,0.460829493,0.04189359,0,0,0
0,0.377042313,0.628403854,0.837871806,0,1.005446167,0
