size,month,MY,Y,year,fishhr,treatment
1,1,1,2015,1,0.041666667,0
1,1,4,2016,2,0,0
1,1,4,2016,2,0.041271151,0
1,0,3,2016,2,0,0
1,0,3,2016,2,0,0
1,2,5,2016,2,0,0
1,2,5,2016,2,0,0
0,2,2,2015,1,0.041666667,0
0,2,2,2015,1,0,0
0,1,1,2015,1,4.708333333,0
0,1,1,2015,1,1.5,0
0,1,4,2016,2,0,0
0,1,4,2016,2,0,0
0,1,4,2016,2,0,0
0,1,4,2016,2,0,0
0,0,3,2016,2,0,0
0,0,3,2016,2,0,0
0,0,3,2016,2,0,0
0,0,3,2016,2,0,0
0,2,5,2016,2,0,0
0,2,5,2016,2,0,0
0,2,5,2016,2,0,0
0,2,5,2016,2,0.154878678,0
1,1,1,2015,1,0,0
1,1,4,2016,2,0,0
1,1,4,2016,2,0,0
1,2,5,2016,2,0,0
1,2,5,2016,2,0,0
0,1,1,2015,1,0,0
0,1,1,2015,1,0,0
0,1,4,2016,2,0,0
0,1,4,2016,2,0.772727273,0
0,1,4,2016,2,0,0
0,1,4,2016,2,0,0
0,2,5,2016,2,0,0
0,2,5,2016,2,0.047619048,0
0,2,5,2016,2,2.428571429,0
0,2,5,2016,2,1.952380952,0
1,1,1,2015,1,0,1
1,1,4,2016,2,0,1
1,1,4,2016,2,0,1
1,0,3,2016,2,0.040567951,1
1,0,3,2016,2,0.040567951,1
1,2,5,2016,2,0,1
1,2,5,2016,2,0,1
0,2,2,2015,1,0,1
0,2,2,2015,1,0.041666667,1
0,1,1,2015,1,11.95833333,1
0,1,1,2015,1,6.958333333,1
0,1,4,2016,2,0.336842105,1
0,1,4,2016,2,3.031578947,1
0,1,4,2016,2,1.473684211,1
0,1,4,2016,2,0.210526316,1
0,0,3,2016,2,0,1
0,0,3,2016,2,0,1
0,0,3,2016,2,0,1
0,0,3,2016,2,0,1
0,2,5,2016,2,0.0509684,1
0,2,5,2016,2,0.101936799,1
0,2,5,2016,2,0.509683996,1
0,2,5,2016,2,0,1
1,1,1,2015,1,0,1
1,1,4,2016,2,0,1
1,0,3,2016,2,0,1
1,0,3,2016,2,0,1
1,2,5,2016,2,0,1
1,2,5,2016,2,0,1
0,2,2,2015,1,0,1
0,2,2,2015,1,0,1
0,1,1,2015,1,0,1
0,1,1,2015,1,0,1
0,1,4,2016,2,0.031746032,1
0,1,4,2016,2,0,1
0,0,3,2016,2,0,1
0,0,3,2016,2,0,1
0,0,3,2016,2,0,1
0,0,3,2016,2,0,1
0,2,5,2016,2,0,1
0,2,5,2016,2,0.040683483,1
0,2,5,2016,2,0,1
0,2,5,2016,2,0,1
1,1,4,2016,2,0.133333333,1
1,1,4,2016,2,0,1
0,1,4,2016,2,0,1
0,1,4,2016,2,0,1
0,1,4,2016,2,0.444444444,1
1,1,1,2015,1,0,1
