Site,PS,month,MY,year,fishhr,T
Beck,large,1,1,1,0.041666667,C
Beck,large,1,4,2,0,C
Beck,large,1,4,2,0.041271151,C
Beck,large,0,3,2,0,C
Beck,large,0,3,2,0,C
Beck,large,2,5,2,0,C
Beck,large,2,5,2,0,C
Buffalo Lake,large,1,1,1,0,C
Buffalo Lake,large,1,4,2,0,C
Buffalo Lake,large,1,4,2,0,C
Buffalo Lake,large,2,5,2,0,C
Buffalo Lake,large,2,5,2,0,C
Eriksrud,large,1,1,1,0,T
Eriksrud,large,1,4,2,0,T
Eriksrud,large,1,4,2,0,T
Eriksrud,large,0,3,2,0.040567951,T
Eriksrud,large,0,3,2,0.040567951,T
Eriksrud,large,2,5,2,0,T
Eriksrud,large,2,5,2,0,T
Fods Slough,large,1,1,1,0,S
Fods Slough,large,1,4,2,0,S
Fods Slough,large,0,3,2,0,S
Fods Slough,large,0,3,2,0,S
Fods Slough,large,2,5,2,0,S
Fods Slough,large,2,5,2,0,S
Fods Slough II,large,1,4,2,0.133333333,S
Fods Slough II,large,1,4,2,0,S
Gerdink,large,1,1,1,0,T
Gerdink,large,1,4,2,0,T
Gerdink,large,1,4,2,0,T
Gerdink,large,0,3,2,0,T
Gerdink,large,0,3,2,0,T
Gerdink,large,2,5,2,0,T
Gerdink,large,2,5,2,0,T
Habeger,large,1,1,1,0,T
Habeger,large,1,4,2,0,T
Habeger,large,1,4,2,0,T
Habeger,large,0,3,2,0,T
Habeger,large,0,3,2,0,T
Habeger,large,2,5,2,0,T
Habeger,large,2,5,2,0,T
Healy Slough,large,1,1,1,0.208333333,T
Healy Slough,large,1,4,2,0,T
Healy Slough,large,1,4,2,0.042698548,T
Healy Slough,large,0,3,2,0,T
Healy Slough,large,0,3,2,0,T
Lake Verm,large,1,1,1,0,C
Lost Lake,large,1,1,1,0,C
Petri II,large,1,1,1,0,S
Petri II,large,1,4,2,0,S
Petri II,large,1,4,2,0,S
Petri II,large,0,3,2,0,S
Petri II,large,0,3,2,0.034188034,S
Petri II,large,2,5,2,0,S
Petri II,large,2,5,2,0,S
Pettigrew,large,1,1,1,0,C
Pittenger,large,1,1,1,0,C
Pittenger,large,1,4,2,0,C
Pittenger,large,1,4,2,0,C
Pittenger,large,0,3,2,0,C
Pittenger,large,0,3,2,0,C
Pittenger,large,2,5,2,0,C
Pittenger,large,2,5,2,0,C
Ramsey,large,1,1,1,0,S
Ramsey,large,1,4,2,0.107933081,S
Ramsey,large,1,4,2,0.107933081,S
Ramsey,large,0,3,2,0.04040404,S
Ramsey,large,0,3,2,0.080808081,S
Ramsey,large,2,5,2,0.105708245,S
Ramsey,large,2,5,2,0.687103594,S
Schaefer,large,1,1,1,0,S
Schaefer,large,1,4,2,0.037383178,S
Schaefer,large,1,4,2,0.037383178,S
Schaefer,large,0,3,2,0,S
Schaefer,large,0,3,2,0,S
Schaefer,large,2,5,2,0,S
Schaefer,large,2,5,2,0,S
Swartz,large,1,1,1,0,T
Swartz,large,1,4,2,0,T
Swartz,large,1,4,2,0,T
Swartz,large,0,3,2,0,T
