ps,month,year,hrs,fish,fishhr,treatment
1,2,2016,19.37,0,0,0
1,2,2016,19.37,0,0,0
1,2,2016,21,0,0,0
1,2,2016,21,0,0,0
1,2,2016,14,0,0,0
1,2,2016,14,0,0,0
1,2,2016,24.58,0,0,1
1,2,2016,24.58,0,0,1
1,2,2016,21.92,0,0,1
1,2,2016,21.92,0,0,1
1,2,2016,18.92,2,0.105708245,1
1,2,2016,18.92,13,0.687103594,1
1,2,2016,22.9,0,0,1
1,2,2016,22.9,0,0,1
1,2,2016,15,0,0,1
1,2,2016,15,0,0,1
1,2,2016,19.62,0,0,2
1,2,2016,19.62,0,0,2
1,2,2016,18.05,0,0,2
1,2,2016,18.05,0,0,2
1,2,2016,25.2,0,0,2
1,2,2016,25.2,0,0,2
1,2,2016,21.82,3,0.137488543,2
1,2,2016,21.82,0,0,2
1,2,2016,21.83,0,0,2
1,2,2016,21.83,0,0,2
1,2,2016,21.68,0,0,2
1,2,2016,21.68,0,0,2
1,2,2015,24,1,0.041666667,0
1,1,2016,24.23,0,0,0
1,1,2016,24.23,1,0.041271151,0
1,1,2015,48,0,0,0
1,1,2016,22,0,0,0
1,1,2016,22,0,0,0
1,1,2015,24,0,0,0
1,1,2015,24,0,0,0
1,1,2015,48,0,0,0
1,1,2015,24,0,0,0
1,1,2016,18.92,0,0,0
1,1,2016,18.92,0,0,0
1,1,2015,48,0,0,1
1,1,2016,31.5,0,0,1
1,1,2016,22.5,3,0.133333333,1
1,1,2016,22.5,0,0,1
1,1,2015,48,0,0,1
1,1,2016,29.83,0,0,1
1,1,2016,29.83,0,0,1
1,1,2015,24,0,0,1
1,1,2016,18.53,2,0.107933081,1
1,1,2016,18.53,2,0.107933081,1
1,1,2015,48,0,0,1
1,1,2016,26.75,1,0.037383178,1
1,1,2016,26.75,1,0.037383178,1
1,1,2015,24,1,0.041666667,1
1,1,2016,20.27,1,0.049333991,1
1,1,2016,20.27,18,0.88801184,1
1,1,2015,24,0,0,2
