Site,PS,trap_S,M,month,MY,Y,year,fishhr,T,treatment
Beck,large,1,June,1,1,2015,1,0.041666667,C,0
Beck,large,1,June,1,4,2016,2,0,C,0
Beck,large,1,June,1,4,2016,2,0.041271151,C,0
Beck,large,1,May,0,3,2016,2,0,C,0
Beck,large,1,May,0,3,2016,2,0,C,0
Beck,large,1,July,2,5,2016,2,0,C,0
Beck,large,1,July,2,5,2016,2,0,C,0
Buffalo Lake,large,1,June,1,1,2015,1,0,C,0
Buffalo Lake,large,1,June,1,4,2016,2,0,C,0
Buffalo Lake,large,1,June,1,4,2016,2,0,C,0
Buffalo Lake,large,1,July,2,5,2016,2,0,C,0
Buffalo Lake,large,1,July,2,5,2016,2,0,C,0
Eriksrud,large,1,June,1,1,2015,1,0,T,2
Eriksrud,large,1,June,1,4,2016,2,0,T,2
Eriksrud,large,1,June,1,4,2016,2,0,T,2
Eriksrud,large,1,May,0,3,2016,2,0.040567951,T,2
Eriksrud,large,1,May,0,3,2016,2,0.040567951,T,2
Eriksrud,large,1,July,2,5,2016,2,0,T,2
Eriksrud,large,1,July,2,5,2016,2,0,T,2
Fods Slough,large,1,June,1,1,2015,1,0,S,1
Fods Slough,large,1,June,1,4,2016,2,0,S,1
Fods Slough,large,1,May,0,3,2016,2,0,S,1
Fods Slough,large,1,May,0,3,2016,2,0,S,1
Fods Slough,large,1,July,2,5,2016,2,0,S,1
Fods Slough,large,1,July,2,5,2016,2,0,S,1
Fods Slough II,large,1,June,1,4,2016,2,0.133333333,S,1
Fods Slough II,large,1,June,1,4,2016,2,0,S,1
Gerdink,large,1,June,1,1,2015,1,0,T,2
Gerdink,large,1,June,1,4,2016,2,0,T,2
Gerdink,large,1,June,1,4,2016,2,0,T,2
Gerdink,large,1,May,0,3,2016,2,0,T,2
Gerdink,large,1,May,0,3,2016,2,0,T,2
Gerdink,large,1,July,2,5,2016,2,0,T,2
Gerdink,large,1,July,2,5,2016,2,0,T,2
Habeger,large,1,June,1,1,2015,1,0,T,2
Habeger,large,1,June,1,4,2016,2,0,T,2
Habeger,large,1,June,1,4,2016,2,0,T,2
Habeger,large,1,May,0,3,2016,2,0,T,2
Habeger,large,1,May,0,3,2016,2,0,T,2
Habeger,large,1,July,2,5,2016,2,0,T,2
Habeger,large,1,July,2,5,2016,2,0,T,2
Healy Slough,large,1,June,1,1,2015,1,0.208333333,T,2
Healy Slough,large,1,June,1,4,2016,2,0,T,2
Healy Slough,large,1,June,1,4,2016,2,0.042698548,T,2
Healy Slough,large,1,May,0,3,2016,2,0,T,2
Healy Slough,large,1,May,0,3,2016,2,0,T,2
Lake Verm,large,1,June,1,1,2015,1,0,C,0
Lost Lake,large,1,June,1,1,2015,1,0,C,0
Petri II,large,1,June,1,1,2015,1,0,S,1
Petri II,large,1,June,1,4,2016,2,0,S,1
Petri II,large,1,June,1,4,2016,2,0,S,1
Petri II,large,1,May,0,3,2016,2,0,S,1
Petri II,large,1,May,0,3,2016,2,0.034188034,S,1
Petri II,large,1,July,2,5,2016,2,0,S,1
Petri II,large,1,July,2,5,2016,2,0,S,1
Pettigrew,large,1,June,1,1,2015,1,0,C,0
Pittenger,large,1,June,1,1,2015,1,0,C,0
Pittenger,large,1,June,1,4,2016,2,0,C,0
Pittenger,large,1,June,1,4,2016,2,0,C,0
Pittenger,large,1,May,0,3,2016,2,0,C,0
Pittenger,large,1,May,0,3,2016,2,0,C,0
Pittenger,large,1,July,2,5,2016,2,0,C,0
Pittenger,large,1,July,2,5,2016,2,0,C,0
Ramsey,large,1,June,1,1,2015,1,0,S,1
Ramsey,large,1,June,1,4,2016,2,0.107933081,S,1
Ramsey,large,1,June,1,4,2016,2,0.107933081,S,1
Ramsey,large,1,May,0,3,2016,2,0.04040404,S,1
Ramsey,large,1,May,0,3,2016,2,0.080808081,S,1
Ramsey,large,1,July,2,5,2016,2,0.105708245,S,1
Ramsey,large,1,July,2,5,2016,2,0.687103594,S,1
Schaefer,large,1,June,1,1,2015,1,0,S,1
Schaefer,large,1,June,1,4,2016,2,0.037383178,S,1
Schaefer,large,1,June,1,4,2016,2,0.037383178,S,1
Schaefer,large,1,May,0,3,2016,2,0,S,1
Schaefer,large,1,May,0,3,2016,2,0,S,1
Schaefer,large,1,July,2,5,2016,2,0,S,1
Schaefer,large,1,July,2,5,2016,2,0,S,1
Swartz,large,1,June,1,1,2015,1,0,T,2
Swartz,large,1,June,1,4,2016,2,0,T,2
Swartz,large,1,June,1,4,2016,2,0,T,2
Swartz,large,1,May,0,3,2016,2,0,T,2
Swartz,large,1,May,0,3,2016,2,0,T,2
Swartz I,large,1,July,2,5,2016,2,0.137488543,T,2
Swartz I,large,1,July,2,5,2016,2,0,T,2
Swartz II,large,1,July,2,5,2016,2,0,T,2
Swartz II,large,1,July,2,5,2016,2,0,T,2
Volker,large,1,June,1,1,2015,1,0,T,2
Volker,large,1,July,2,5,2016,2,0,T,2
Volker,large,1,July,2,5,2016,2,0,T,2
Ziegler,large,1,June,1,1,2015,1,0.041666667,S,1
Ziegler,large,1,June,1,4,2016,2,0.049333991,S,1
Ziegler,large,1,June,1,4,2016,2,0.88801184,S,1
Ziegler,large,1,May,0,3,2016,2,0,S,1
Ziegler,large,1,May,0,3,2016,2,0,S,1
Ziegler,large,1,July,2,5,2016,2,0,S,1
Ziegler,large,1,July,2,5,2016,2,0,S,1
Beck,small,0,July,2,2,2015,1,0.041666667,C,0
Beck,small,0,July,2,2,2015,1,0,C,0
Beck,small,0,June,1,1,2015,1,4.708333333,C,0
Beck,small,0,June,1,1,2015,1,1.5,C,0
Beck,small,0,June,1,4,2016,2,0,C,0
Beck,small,0,June,1,4,2016,2,0,C,0
Beck,small,0,June,1,4,2016,2,0,C,0
Beck,small,0,June,1,4,2016,2,0,C,0
Beck,small,0,May,0,3,2016,2,0,C,0
Beck,small,0,May,0,3,2016,2,0,C,0
Beck,small,0,May,0,3,2016,2,0,C,0
Beck,small,0,May,0,3,2016,2,0,C,0
Beck,small,0,July,2,5,2016,2,0,C,0
Beck,small,0,July,2,5,2016,2,0,C,0
Beck,small,0,July,2,5,2016,2,0,C,0
Beck,small,0,July,2,5,2016,2,0.154878678,C,0
Buffalo Lake,small,0,June,1,1,2015,1,0,C,0
Buffalo Lake,small,0,June,1,1,2015,1,0,C,0
Buffalo Lake,small,0,June,1,4,2016,2,0,C,0
Buffalo Lake,small,0,June,1,4,2016,2,0.772727273,C,0
Buffalo Lake,small,0,June,1,4,2016,2,0,C,0
Buffalo Lake,small,0,June,1,4,2016,2,0,C,0
Buffalo Lake,small,0,July,2,5,2016,2,0,C,0
Buffalo Lake,small,0,July,2,5,2016,2,0.047619048,C,0
Buffalo Lake,small,0,July,2,5,2016,2,2.428571429,C,0
Buffalo Lake,small,0,July,2,5,2016,2,1.952380952,C,0
Eriksrud,small,0,July,2,2,2015,1,0,T,2
Eriksrud,small,0,July,2,2,2015,1,0.041666667,T,2
Eriksrud,small,0,June,1,1,2015,1,11.95833333,T,2
Eriksrud,small,0,June,1,1,2015,1,6.958333333,T,2
