AeshniOdoHex,AmpMal,AraAra,BelostHemHex,BrachyTriHex,CaenidEphHex,CambarDecMal,CeratoDipHex,ChaoboDipHex,ChironDipHex,CoenagOdoHex,Cop,CordulOdoHex,CorixiHemHex,CurculColHex,DytiscColHex,EphydrDipHex,GerridHemHex,HaliplColHex,HebridHemHex,Hir,HydAra,HydropColHex,IsonycEphHex,IsotomColHex,LibellOdoHex,LymnaeProGas,NotoneHemHex,Oli,PhysidProGas,PlanorPulGas,PleidaHemHex,PodOst,PoduriColHex,StratiDipHex,TipuliDipHex,VeliidHemHex
2,0,0,0,0,0,0,0,0,69,0,7,0,0,0,1,3,0,1,0,0,0,1,0,0,1,40,5,0,0,4,0,294,0,0,0,0
0,0,0,0,0,0,0,0,0,54,3,1,0,2,0,0,7,0,0,0,0,0,2,1,0,1,15,3,0,0,0,0,23,0,0,0,0
1,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,10,0,1,0,0,0,0
4,0,0,0,0,0,0,1,0,38,4,4,0,1,1,0,3,0,0,0,0,0,7,0,0,0,40,3,0,0,8,0,34,0,1,0,0
0,3,0,0,0,0,0,0,0,0,2,0,0,20,0,6,0,0,1,0,0,3,0,0,0,0,2,3,0,5,1,0,0,0,0,0,0
0,8,0,0,0,2,0,0,0,6,0,0,0,18,0,2,0,0,3,0,1,6,1,2,0,1,2,1,0,10,12,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,8,0,6,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,12,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,8,19,1,1,0,0,0,0
3,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,18,1,4,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,8,0,4,0,0,0,0
0,86,0,0,0,1,0,7,0,79,0,0,0,0,1,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,163,1,0,0,0,0,1
4,109,0,0,0,2,0,0,0,13,1,0,0,6,1,6,0,0,0,0,1,0,8,0,2,0,1,35,0,0,232,7,2,0,2,0,1
0,334,0,0,0,9,0,0,0,27,1,0,0,4,0,2,0,0,0,0,0,1,13,0,0,0,0,5,0,3,519,0,4,0,4,0,0
0,89,0,0,0,0,0,0,0,0,0,1,0,3,0,2,0,0,0,0,0,6,0,0,0,0,0,2,0,0,133,0,2,0,0,0,1
0,3,0,0,0,1,0,2,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,69,0,0,15,247,0,10,0,0,0,0
0,4,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,274,0,0,50,755,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,52,0,0,23,239,0,0,0,0,0,0
0,11,0,0,0,1,0,0,0,73,0,0,0,4,0,1,0,0,6,0,0,3,0,1,0,0,29,0,0,12,353,0,3,0,0,0,0
0,376,0,0,0,3,0,0,0,11,5,0,0,33,0,1,0,0,8,0,3,3,4,7,0,0,20,3,0,30,618,5,50,0,1,0,0
0,117,0,0,0,6,0,1,0,9,1,0,0,32,0,2,0,0,4,0,0,10,1,5,1,0,9,11,1,10,360,4,78,0,0,0,5
1,7,0,0,0,0,0,0,0,12,0,0,0,13,0,1,0,0,3,0,1,3,0,2,0,0,2,0,0,8,59,1,6,0,0,0,0
1,49,0,0,0,4,0,2,0,32,0,0,0,68,0,3,0,0,4,0,1,2,1,2,1,0,5,1,0,12,330,1,12,0,0,0,1
