AeshniOdoHex,AmpMal,AphidaHemHex,AraAra,BelostHemHex,BrachyDipHex,BrachyTriHex,CaenidEphHex,CambarDecMal,CeratoDipHex,ChaoboDipHex,ChironDipHex,CicadeHemHex,CoenagOdoHex,Cop,CordulOdoHex,CorixiHemHex,CuliciDipHex,CurculColHex,DipHex,DytiscColHex,EphydrDipHex,GerridHemHex,GyriniColHex,HaliplColHex,HebridHemHex,HelophColHex,Hir,HydAra,HydropColHex,IsonycEphHex,IsotomColHex,LibellOdoHex,LimnepTriHex,LymnaeProGas,MesoveHemHex,MuscidDipHex,NepidaHemHex,NotoneHemHex,Oli,PhrygaTriHex,PhysidProGas,PlanorPulGas,PleidaHemHex,PodOst,PoduriColHex,ScirtiColHex,SminthColHex,SphaerVenBiv,StratiDipHex,TipuliDipHex,VeliidHemHex
7,0,0,0,0,0,0,0,0,1,0,232,0,7,12,0,3,0,1,0,1,13,0,0,1,0,0,0,0,10,1,0,2,0,98,0,0,0,13,0,0,0,22,0,352,0,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,2,0,470,0,13,36,0,6,0,1,0,1,14,0,0,3,0,0,0,0,7,0,0,0,0,200,0,0,0,41,46,0,0,44,0,1148,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,1,0,130,0,7,3,0,1,0,1,0,0,4,0,0,7,0,0,0,0,10,0,0,0,0,49,0,0,0,6,0,0,11,172,0,428,0,0,0,0,1,0,0
6,28,0,1,0,0,0,35,1,2,0,377,0,6,0,0,76,0,2,0,5,0,0,0,3,0,0,5,0,1,20,0,1,0,1,0,0,1,1,1,0,20,111,2,16,0,0,0,0,2,0,1
0,3,0,0,0,0,0,18,0,1,0,9,1,4,0,0,51,0,0,0,3,0,0,0,10,0,0,0,0,4,6,0,0,0,1,0,0,0,3,0,0,12,26,2,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,70,0,1,0,62,0,0,0,0,11,0,0,0,2,0,0,0,13,0,0,0,0,1,2,0,0,0,20,0,0,0,0,0,0,52,867,0,2,0,0,0,0,0,0,0
0,11,0,0,0,0,0,2,0,0,0,7,0,2,3,0,41,0,0,0,8,0,0,3,4,0,0,1,12,1,2,0,1,0,5,0,0,0,4,2,0,15,21,0,6,0,0,0,0,0,0,0
3,15,0,0,0,0,0,44,0,0,0,49,0,1,2,0,60,0,0,0,17,0,0,0,10,0,0,0,34,0,13,0,0,6,4,0,0,0,1,1,0,63,128,0,0,0,0,0,0,0,0,0
2,19,0,0,0,5,1,52,2,0,0,24,0,1,0,0,26,0,0,0,3,0,0,0,4,0,0,1,7,2,11,0,1,0,11,0,0,0,0,1,0,24,354,0,1,0,0,0,0,0,0,0
27,0,0,0,2,0,0,0,1,0,1,15,0,42,2,0,25,0,3,0,13,0,0,0,3,19,0,0,2,12,25,3,0,0,351,0,0,0,31,0,0,57,315,10,93,0,0,0,0,2,0,12
