SiteName,Treatment,TransectNumber
Acheson,Tile,1
Acheson,Tile,2
Acheson,Tile,3
Acheson,Tile,4
Beck,Control,1
Beck,Control,2
Beck,Control,3
Beck,Control,4
Buffalo Lake,Control,1
Buffalo Lake,Control,2
Buffalo Lake,Control,3
Buffalo Lake,Control,4
Ericksrud,Tile,1
Ericksrud,Tile,2
Ericksrud,Tile,3
Ericksrud,Tile,4
Fods Slough,Surface,1
Fods Slough,Surface,2
Fods Slough,Surface,3
Fods Slough,Surface,4
Habeger,Tile,2
Healy Slough,Surface,1
Healy Slough,Surface,2
Healy Slough,Surface,3
Healy Slough,Surface,4
Lost Lake,Control,1
Lost Lake,Control,2
Lost Lake,Control,3
Pittenger,Control,1
Pittenger,Control,2
Pittenger,Control,3
Pittenger,Control,4
Schaefer,Surface,1
Schaefer,Surface,2
Schaefer,Surface,3
Schaefer,Surface,4
Swartz,Tile,1
Swartz,Tile,2
Swartz,Tile,3
Swartz,Tile,4
Vermillion Lake,Control,1
Vermillion Lake,Control,2
Vermillion Lake,Control,3
Vermillion Lake,Control,4
Volker II,Tile,1
Volker II,Tile,2
Ziegler,Surface,1
Ziegler,Surface,2
Ziegler,Surface,3
Ziegler,Surface,4
