SiteName,Treatment,TransectNumber
Acheson,Tile,1
Acheson,Tile,3
Acheson,Tile,4
Beck,Control,4
Beck,Control,2
Beck,Control,3
Beck,Control,1
Ericksrud,Tile,4
Ericksrud,Tile,1
Ericksrud,Tile,3
Ericksrud,Tile,2
Fods Slough,Surface,1
Fods Slough,Surface,3
Fods Slough,Surface,4
Fods Slough,Surface,2
Gerdink,Tile,4
Gerdink,Tile,1
Gerdink,Tile,3
Gerdink,Tile,2
Habeger,Tile,4
Habeger,Tile,2
Habeger,Tile,1
Habeger,Tile,3
Pittenger,Control,1
Pittenger,Control,3
Pittenger,Control,2
Pittenger,Control,4
Ramsey,Surface,4
Ramsey,Surface,3
Ramsey,Surface,1
Ramsey,Surface,2
Schaefer,Surface,1
Schaefer,Surface,3
Schaefer,Surface,4
Swartz,Tile,3
Swartz,Tile,2
Swartz,Tile,1
Swartz,Tile,4
Vermillion Lake,Control,1
Volker II,Tile,4
Volker II,Tile,3
