AeshniOdoHex,AmpMal,AraAra,BrachyTriHex,CaenidEphHex,CambarDecMal,CeratoDipHex,ChaoboDipHex,ChironDipHex,CoenagOdoHex,Cop,CorixiHemHex,CurculColHex,DytiscColHex,EphydrDipHex,HaliplColHex,Hir,HydAra,HydropColHex,IsonycEphHex,LibellOdoHex,LimnepTriHex,LymnaeProGas,NotoneHemHex,Oli,PhysidProGas,PlanorPulGas,PleidaHemHex,PodOst,SphaerVenBiv,StratiDipHex
0,0,0,0,0,0,0,0,100,0,0,0,1,0,1,0,0,0,0,0,0,0,6,1,0,7,111,0,2,0,1
2,0,0,0,0,0,1,0,14,7,3,0,0,0,3,7,0,0,10,0,0,0,39,0,0,0,13,0,426,0,0
0,0,0,0,0,0,0,0,16,0,0,1,0,0,0,0,0,0,0,0,0,0,4,5,0,4,48,0,0,0,0
0,4,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,4,68,0,1,0,0
0,0,0,0,3,2,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,34,0,0,0,0
2,9,0,5,26,0,0,0,15,0,0,10,0,2,0,3,1,7,2,8,1,0,0,0,1,18,79,0,0,0,0
0,6,0,1,15,0,0,0,6,0,0,12,0,1,0,1,0,0,0,2,0,0,3,0,0,2,173,0,0,0,0
0,1,0,0,4,0,0,0,37,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,11,1134,0,1,0,0
0,3,0,0,2,0,0,0,269,0,0,6,0,1,0,1,0,0,0,1,0,0,6,1,0,17,329,2,2,0,0
0,3,0,0,0,0,0,0,74,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,7,252,1,0,0,0
0,13,0,0,0,0,0,0,27,2,0,4,0,2,2,0,0,0,0,1,0,0,0,1,0,3,124,0,0,0,0
0,5,0,0,0,0,4,0,7,4,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,77,9,0,1,1,0
0,4,0,0,0,0,0,0,28,1,1,6,0,1,0,0,0,1,2,1,0,0,0,2,0,28,39,0,2,1,0
0,0,0,0,0,0,0,0,353,1,0,20,0,1,0,0,0,0,0,0,0,0,0,2,0,23,8,0,15,0,0
0,0,0,0,0,0,2,0,21,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,1,0,0,0,0
0,1,0,0,0,0,0,0,148,0,0,4,0,1,0,1,0,0,0,0,0,0,28,0,0,17,226,0,7,0,0
0,0,0,0,0,0,3,0,6,0,0,5,0,3,0,2,3,0,0,0,0,0,98,0,0,16,327,0,23,0,0
0,0,0,0,0,0,0,0,51,0,0,2,0,1,0,0,0,0,0,0,0,0,32,0,0,22,279,0,0,0,0
0,1,0,0,0,0,3,0,19,0,0,2,0,0,0,3,2,0,1,0,0,0,112,0,0,14,504,0,0,0,0
0,0,0,0,0,0,0,0,251,0,0,15,0,0,0,1,0,0,0,0,0,0,3,0,0,9,326,0,3,0,0
0,0,0,0,3,0,0,0,18,1,0,22,0,1,0,2,0,0,0,1,0,0,3,0,0,17,516,0,4,0,0
0,7,0,0,2,0,0,0,1184,0,0,12,0,2,0,4,4,0,0,1,0,0,5,1,0,8,775,1,12,0,0
0,4,0,0,0,0,0,0,493,0,0,57,0,0,0,2,0,1,0,0,0,0,4,1,0,10,527,0,0,0,0
0,0,0,0,0,0,0,0,29,0,0,7,0,0,0,0,0,2,0,0,0,0,41,0,0,26,151,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,2,0,0,1,8,0,0,0,0
0,1,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,49,0,0,23,231,0,0,0,0
0,1,0,0,1,0,0,0,3,0,0,4,0,0,0,0,2,0,0,0,0,0,71,0,0,4,289,0,0,0,0
0,40,0,0,19,0,2,0,363,0,0,3,0,1,3,0,0,0,0,9,0,0,24,0,0,6,18,0,0,0,0
0,457,1,0,20,0,3,0,25,1,0,12,0,0,9,0,2,2,0,9,0,0,110,1,0,9,18,0,0,0,0
0,134,0,0,6,0,0,0,51,0,0,8,0,0,3,0,0,0,0,4,0,0,36,0,0,32,216,0,0,0,0
0,1849,0,0,0,0,2,0,168,0,0,8,0,0,0,6,0,3,0,0,0,0,82,0,0,43,224,0,0,0,0
0,6,0,0,0,0,1,0,1,0,0,12,0,0,0,1,0,1,2,0,0,0,2,2,0,187,132,0,9,0,1
0,3,0,0,0,0,0,0,2,0,0,4,0,2,0,2,0,0,0,3,0,0,3,0,0,16,36,0,8,0,0
0,0,0,0,0,0,0,0,11,1,0,21,0,0,0,0,0,0,0,3,0,0,33,0,0,99,174,0,197,0,0
0,1,0,0,0,0,0,0,39,0,2,3,0,1,0,0,0,0,0,0,0,0,3,0,0,13,67,0,3,0,0
0,1,0,0,0,0,0,0,51,0,0,18,0,1,0,0,1,1,0,1,0,0,19,0,0,27,223,0,35,0,0
0,1,0,0,0,0,0,0,103,0,0,1,0,0,0,0,0,0,0,0,0,0,20,0,0,31,196,0,0,0,0
0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,41,516,0,0,0,0
0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,35,0,0,23,333,0,0,0,0
0,0,0,0,0,0,0,2,92,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,2,5,1,2,0,0
0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,11,51,0,57,0,0
