Agrostis gigantea,Ambrosia artemisifolia,Ambrosia psilostachya,Amorpha canescens,Andropogon gerardii,Anemone canadense,Apocynum cannabinum,Artemisia ludoviciana,Asclepias incarnata,Asclepias syriaca,Aster ericoides,Aster falcatus,Aster novae-angliae,Bouteloua curtipendula,Brickellia eupatorioides,Bromus inermis,Carduus nutans,Centaurea repens,Cirsium arvense,Convulvulus arvensis,Conyza canadensis,Coreopsis tinctoria ,Dalea candida,Dichanthelium oligosanthes,Echinacea angustifolia,Elymus canadensis,Elymus repens,Elymus trachycaulus,Elymus virginicus,Euphorbia esula,Fraxinus pennsylvanica,Glycyrrhiza lepidota,Helianthus annuus,Helianthus grosseserratus,Helianthus maximiliani,Helianthus pauciflorus,Hordeum jubatum,Juniperus virginiana,Leucanthemum vulgare,Liatris aspera,Lycopus americanus,Medicago lupulina,Medicago sativa,Melilotus albus,Melilotus officinalis,Monarda fistulosa,Oenothera sp.,Onosmodium molle,Oxalis stricta,Panicum capillare,Panicum virgatum,Phalaris arundinacea,Phleum pratense,Physalis sp.,Poa pratensis,Prunus virginiana,Psoralea argophylla,Rosa arkansana,Salix exigua,Schizachyrium scoparium,Silphium laciniatum,Silphium perfoliatum,Solidago canadensis,Solidago mollis,Solidago rigida,Sonchus arvensis,Stipa comata,Stipa viridula,Symphoricorpos occidentalis,Taraxacum officinale,Teucrium canadense,Tragopogon dubius,Ulmus sp.,Vernonia fasciculata,Viola Sp. ,Unk. Aster sp.,Unk. Astragalus sp.,Unk. Bean Sp. ,Unk. Forb sp.,Unk. Grass Sp.,Unk. Helianthus Sp.,Unk. Poa sp. ,Unk. Solidago sp.,Unk. Sedge Sp. ,Unk. Solanum sp.,Unknown Sp.
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,80,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,95,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,95,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
