Wetland,Wetland Type,Zone,Transect,Quadrat,Quadrat ID
Acheson,Tile,Upland ,1,5,1
Acheson,Tile,Upland ,1,19,2
Acheson,Tile,Upland ,1,25,3
Acheson,Tile,Upland ,1,31,4
Acheson,Tile,Upland ,2,9,5
Acheson,Tile,Upland ,2,15,6
Acheson,Tile,Upland ,2,20,7
Acheson,Tile,Upland ,2,40,8
Beck ,Control,Upland ,1,8,33
Beck ,Control,Upland ,1,17,34
Beck ,Control,Upland ,1,24,35
Beck ,Control,Upland ,1,31,36
Beck ,Control,Upland ,2,3,37
Beck ,Control,Upland ,2,17,38
Beck ,Control,Upland ,2,22,39
Beck ,Control,Upland ,2,34,40
Buffalo Lake,Control,Upland ,1,2,65
Buffalo Lake,Control,Upland ,1,19,66
Buffalo Lake,Control,Upland ,1,24,67
Buffalo Lake,Control,Upland ,1,36,68
Buffalo Lake,Control,Upland ,2,3,69
Buffalo Lake,Control,Upland ,2,10,70
Buffalo Lake,Control,Upland ,2,27,71
Buffalo Lake,Control,Upland ,2,33,72
Eriksrud,Tile,Upland ,1,6,97
Eriksrud,Tile,Upland ,1,12,98
Eriksrud,Tile,Upland ,1,30,99
Eriksrud,Tile,Upland ,1,31,100
Eriksrud,Tile,Upland ,2,8,101
Eriksrud,Tile,Upland ,2,13,102
Eriksrud,Tile,Upland ,2,23,103
Eriksrud,Tile,Upland ,2,31,104
Fods Slough,Surface,Upland ,1,4,129
Fods Slough,Surface,Upland ,1,15,130
Fods Slough,Surface,Upland ,1,24,131
Fods Slough,Surface,Upland ,1,33,132
Fods Slough,Surface,Upland ,2,2,133
Fods Slough,Surface,Upland ,2,12,134
Fods Slough,Surface,Upland ,2,20,135
Fods Slough,Surface,Upland ,2,36,136
Gerdink,Tile,Upland ,1,6,161
Gerdink,Tile,Upland ,1,18,162
Gerdink,Tile,Upland ,1,29,163
Gerdink,Tile,Upland ,1,31,164
Gerdink,Tile,Upland ,2,0,165
Gerdink,Tile,Upland ,2,18,166
Gerdink,Tile,Upland ,2,30,167
Gerdink,Tile,Upland ,2,39,168
Haberger,Tile,Upland ,1,6,193
Haberger,Tile,Upland ,1,10,194
Haberger,Tile,Upland ,1,30,195
Haberger,Tile,Upland ,1,38,196
Haberger,Tile,Upland ,2,9,197
Haberger,Tile,Upland ,2,11,198
Haberger,Tile,Upland ,2,20,199
Haberger,Tile,Upland ,2,35,200
Healy Slough,Surface,Upland ,1,0,225
Healy Slough,Surface,Upland ,1,10,226
Healy Slough,Surface,Upland ,1,21,227
Healy Slough,Surface,Upland ,1,33,228
Healy Slough,Surface,Upland ,2,8,229
Healy Slough,Surface,Upland ,2,16,230
Healy Slough,Surface,Upland ,2,28,231
Healy Slough,Surface,Upland ,2,32,232
Lake Vermillion ,Control,Upland ,1,2,257
Lake Vermillion ,Control,Upland ,1,12,258
Lake Vermillion ,Control,Upland ,1,20,259
Lake Vermillion ,Control,Upland ,1,30,260
Lake Vermillion ,Control,Upland ,2,9,261
Lake Vermillion ,Control,Upland ,2,15,262
Lake Vermillion ,Control,Upland ,2,30,263
Lake Vermillion ,Control,Upland ,2,36,264
Lost Lake,Control,Upland ,1,8,289
Lost Lake,Control,Upland ,1,16,290
Lost Lake,Control,Upland ,1,21,291
Lost Lake,Control,Upland ,1,34,292
Lost Lake,Control,Upland ,2,1,293
Lost Lake,Control,Upland ,2,16,294
Lost Lake,Control,Upland ,2,30,295
Lost Lake,Control,Upland ,2,38,296
Petri II,Tile,Upland ,1,7,321
Petri II,Tile,Upland ,1,12,322
Petri II,Tile,Upland ,1,22,323
Petri II,Tile,Upland ,1,38,324
Petri II,Tile,Upland ,2,9,325
Petri II,Tile,Upland ,2,17,326
Petri II,Tile,Upland ,2,30,327
Petri II,Tile,Upland ,2,32,328
Pettigrew,Control,Upland ,1,1,353
Pettigrew,Control,Upland ,1,19,354
Pettigrew,Control,Upland ,1,24,355
Pettigrew,Control,Upland ,1,30,356
Pettigrew,Control,Upland ,2,5,357
Pettigrew,Control,Upland ,2,18,358
Pettigrew,Control,Upland ,2,26,359
Pettigrew,Control,Upland ,2,35,360
Pittenger,Control,Upland ,1,2,385
Pittenger,Control,Upland ,1,13,386
Pittenger,Control,Upland ,1,22,387
Pittenger,Control,Upland ,1,37,388
Pittenger,Control,Upland ,2,7,389
Pittenger,Control,Upland ,2,16,390
Pittenger,Control,Upland ,2,28,391
Pittenger,Control,Upland ,2,39,392
Ramsey,Surface,Upland ,1,0,417
Ramsey,Surface,Upland ,1,10,418
Ramsey,Surface,Upland ,1,29,419
Ramsey,Surface,Upland ,1,37,420
Ramsey,Surface,Upland ,2,8,421
Ramsey,Surface,Upland ,2,11,422
Ramsey,Surface,Upland ,2,28,423
Ramsey,Surface,Upland ,2,39,424
Schaefer,Surface,Upland ,1,0,449
Schaefer,Surface,Upland ,1,11,450
Schaefer,Surface,Upland ,1,29,451
Schaefer,Surface,Upland ,1,35,452
Schaefer,Surface,Upland ,2,3,453
Schaefer,Surface,Upland ,2,1,454
Schaefer,Surface,Upland ,2,26,455
Schaefer,Surface,Upland ,2,37,456
Swartz,Tile,Upland ,1,1,481
Swartz,Tile,Upland ,1,15,482
Swartz,Tile,Upland ,1,29,483
Swartz,Tile,Upland ,1,32,484
Swartz,Tile,Upland ,2,5,485
Swartz,Tile,Upland ,2,20,486
Swartz,Tile,Upland ,2,28,487
Swartz,Tile,Upland ,2,38,488
Volker II,Tile,Upland ,1,8,513
Volker II,Tile,Upland ,1,14,514
Volker II,Tile,Upland ,1,27,515
Volker II,Tile,Upland ,1,32,516
Volker II,Tile,Upland ,2,5,517
Volker II,Tile,Upland ,2,17,518
Volker II,Tile,Upland ,2,23,519
Volker II,Tile,Upland ,2,35,520
Ziegler ,Surface,Upland ,1,2,545
Ziegler ,Surface,Upland ,1,18,546
Ziegler ,Surface,Upland ,1,21,547
Ziegler ,Surface,Upland ,1,34,548
Ziegler ,Surface,Upland ,2,5,549
Ziegler ,Surface,Upland ,2,18,550
Ziegler ,Surface,Upland ,2,23,551
Ziegler ,Surface,Upland ,2,40,552
