TransectID,QuadratID,SpeciesID,PerCover
1,1,20,90
1,1,97,10
1,2,4,10
1,2,6,5
1,2,20,80
1,2,27,5
1,2,29,7
1,2,96,15
1,2,101,15
1,3,20,90
1,3,29,5
1,4,20,100
2,5,20,100
2,5,27,15
2,5,29,15
2,6,20,95
2,6,27,1
2,7,3,25
2,7,20,90
2,8,20,85
2,8,91,25
2,8,96,5
3,9,27,40
3,9,91,90
3,9,124,10
3,10,91,100
3,10,124,10
3,10,140,15
3,11,27,5
3,11,91,100
3,11,124,10
3,12,27,10
3,12,91,100
3,12,124,15
4,13,91,100
4,13,124,10
4,13,16,1
4,14,27,10
4,14,91,100
4,15,27,20
4,15,113,10
4,15,124,20
4,16,91,100
4,16,124,5
5,17,40,15
5,17,65,1
5,17,111,20
5,17,112,25
5,17,113,40
5,17,138,10
5,18,111,25
5,18,112,90
5,18,113,20
5,18,138,10
5,19,40,10
5,19,111,10
5,19,112,60
5,19,113,30
5,19,138,30
5,20,40,40
5,20,111,5
5,20,112,40
5,20,113,15
5,20,138,15
6,21,27,10
6,21,93,10
6,21,114,10
6,21,138,70
6,22,40,5
6,22,111,10
6,22,113,40
6,22,114,45
6,22,138,60
6,23,91,5
6,23,113,50
6,23,114,10
6,23,138,30
6,24,113,30
6,24,114,10
6,24,138,40
7,25,48,10
7,25,129,100
7,26,26,5
7,26,48,20
7,26,112,10
7,26,129,95
7,27,26,30
7,27,48,15
7,27,129,60
7,28,26,10
7,28,48,30
7,28,129,100
8,29,26,80
8,29,48,30
8,29,129,20
8,30,26,100
8,30,48,15
8,30,129,30
8,31,26,60
8,31,48,30
8,31,129,40
8,32,26,100
8,32,48,15
8,32,129,20
9,33,20,80
9,33,37,5
9,33,57,10
9,33,96,30
9,33,17,5
9,34,11,5
9,34,20,95
9,34,27,30
9,34,96,30
9,35,11,10
9,35,20,60
9,35,27,25
9,35,88,5
9,35,96,50
9,35,120,10
9,36,13,5
9,36,20,90
9,36,27,5
9,36,96,40
10,37,11,20
10,37,20,45
10,37,29,15
10,37,96,80
10,37,100,5
10,38,1,20
10,38,8,50
10,38,11,25
10,38,20,20
10,38,29,20
10,38,96,70
10,38,133,1
10,38,116,10
10,39,1,10
10,39,6,5
10,39,8,70
10,39,11,10
10,39,20,20
10,39,29,10
10,39,96,80
10,39,133,5
10,40,1,40
10,40,8,20
10,40,11,30
10,40,20,30
10,40,57,15
10,40,96,60
11,41,15,15
11,41,20,10
11,41,27,10
11,41,62,5
11,41,71,5
11,41,91,15
11,41,109,20
11,41,120,15
11,41,121,10
11,41,116,10
11,42,15,40
11,42,27,5
11,42,73,10
11,42,91,35
11,42,120,10
11,42,121,20
11,42,124,15
11,42,116,10
11,43,15,20
11,43,91,20
11,43,93,3
11,43,109,10
11,43,120,15
11,43,121,10
11,43,124,10
11,44,15,20
11,44,27,20
11,44,91,40
11,44,109,15
11,44,124,10
12,45,20,10
12,45,27,10
12,45,64,5
12,45,91,60
12,45,109,5
12,45,111,1
12,45,49,1
12,46,20,5
12,46,64,10
12,46,91,70
12,46,109,2
12,46,111,5
12,46,121,2
12,46,124,5
12,46,145,20
12,47,71,5
12,47,91,40
12,47,109,15
12,47,111,5
12,47,124,5
12,47,140,15
12,47,49,2
12,48,27,5
12,48,71,5
12,48,91,70
12,48,109,5
12,48,124,5
12,48,135,40
12,48,139,5
13,49,27,10
13,49,109,40
13,49,111,60
13,50,27,2
13,50,109,20
13,50,111,60
13,50,113,1
13,50,119,5
13,50,139,5
13,50,106,5
13,51,10,5
13,51,15,5
13,51,109,30
13,51,113,5
13,51,139,15
13,52,10,1
13,52,15,1
13,52,27,5
13,52,109,40
13,52,111,30
14,53,139,90
14,54,25,2
14,54,111,5
14,54,113,2
14,54,139,40
14,54,140,30
14,55,129,5
14,55,140,60
14,56,129,15
14,56,139,40
15,57,26,100
15,57,129,15
15,58,26,100
15,58,129,40
15,59,26,50
15,59,129,60
15,60,129,90
16,61,26,100
16,61,129,30
16,62,26,100
16,63,26,100
16,63,129,60
16,64,26,100
17,65,5,15
17,65,20,70
17,65,27,5
17,65,32,10
17,65,56,15
17,65,75,15
17,65,96,30
17,66,5,15
17,66,20,70
17,66,27,5
17,66,75,5
17,66,96,10
17,66,104,7
17,66,74,20
17,66,148,2
17,67,7,1
17,67,20,90
17,67,27,5
17,67,29,2
17,67,75,3
17,67,104,2
17,67,49,2
17,68,20,90
17,68,96,10
17,68,104,3
18,69,5,5
18,69,20,40
18,69,27,15
18,69,96,30
18,69,104,10
18,70,7,2
18,70,20,20
18,70,27,10
18,70,75,10
18,70,91,5
18,70,96,50
18,70,104,15
18,70,120,2
18,71,7,5
18,71,8,5
18,71,20,10
18,71,27,5
18,71,75,5
18,71,96,50
18,71,104,2
18,71,108,10
18,72,7,5
18,72,11,5
18,72,18,10
18,72,20,20
18,72,27,5
18,72,75,15
18,72,96,20
18,72,108,50
19,73,7,20
19,73,10,10
19,73,20,1
19,73,25,10
19,73,27,5
19,73,32,15
19,73,71,7
19,73,91,40
19,73,96,20
19,73,107,50
19,73,120,10
19,73,124,10
19,73,90,5
19,74,1,25
19,74,7,15
19,74,11,25
19,74,20,25
19,74,56,5
19,74,75,10
19,74,96,40
19,74,107,20
19,74,120,30
19,74,49,5
19,75,1,30
19,75,7,10
19,75,20,20
19,75,32,10
19,75,91,20
19,75,96,20
19,75,107,20
19,75,120,40
19,75,134,5
19,75,49,2
19,75,116,30
19,76,1,30
19,76,7,1
19,76,11,5
19,76,20,25
19,76,91,30
19,76,96,40
19,76,107,15
19,76,120,45
20,77,91,60
20,77,96,40
20,77,107,30
20,77,135,2
20,77,49,1
20,77,90,10
20,78,13,2
20,78,27,10
20,78,71,5
20,78,91,10
20,78,96,40
20,78,96,40
20,78,107,50
20,78,120,20
20,78,121,10
20,78,90,5
20,79,27,10
20,79,46,10
20,79,75,5
20,79,96,60
20,79,120,15
20,80,27,5
20,80,91,15
20,80,96,50
20,80,107,30
20,80,120,30
20,80,49,2
21,81,65,30
21,81,138,80
21,82,26,40
21,82,65,20
21,82,66,20
21,82,138,40
21,83,66,40
21,83,138,80
21,84,66,40
21,84,140,70
22,85,65,30
22,85,66,60
22,85,138,40
22,86,65,40
22,86,138,70
22,87,65,20
22,87,66,15
22,87,138,70
22,88,65,30
22,88,66,5
22,88,138,80
23,89,48,20
23,89,65,10
23,89,66,1
23,89,129,70
23,90,26,40
23,90,48,15
23,90,65,2
23,90,129,20
23,91,26,20
23,91,48,15
23,91,65,1
23,91,66,1
23,91,129,50
23,92,26,80
23,92,65,1
23,92,66,1
23,92,129,30
24,93,26,100
24,93,65,1
24,93,66,1
24,94,26,100
24,94,65,2
24,94,66,3
24,94,129,1
24,95,26,15
24,95,48,5
24,95,65,3
24,95,129,40
24,96,26,10
24,96,48,5
24,96,65,1
24,96,129,15
25,97,11,10
25,97,20,25
25,97,27,20
25,97,96,80
25,97,154,10
25,98,20,80
25,98,27,25
25,98,96,20
25,99,7,5
25,99,20,30
25,99,27,20
25,99,88,15
25,99,96,40
25,99,104,5
25,100,20,70
25,100,29,20
25,100,88,5
25,100,96,20
25,100,104,1
26,101,88,20
26,101,96,40
26,101,108,35
26,101,120,5
26,101,155,15
26,101,16,10
26,102,7,3
26,102,27,15
26,102,73,1
26,102,88,15
26,102,96,80
26,102,108,10
26,102,155,25
26,103,11,5
26,103,27,15
26,103,73,5
26,103,88,20
26,103,96,40
26,103,155,20
26,104,5,30
26,104,27,20
26,104,73,3
26,104,96,30
26,104,155,10
27,105,7,25
27,105,11,5
27,105,27,20
27,105,42,20
27,105,88,2
27,105,96,70
27,105,124,20
27,106,7,25
27,106,11,15
27,106,15,10
27,106,27,30
27,106,88,10
27,106,96,80
27,106,104,5
27,106,112,10
27,107,7,20
27,107,11,5
27,107,15,15
27,107,25,10
27,107,27,20
27,107,42,15
27,107,88,20
27,107,96,80
27,108,11,25
27,108,27,40
27,108,42,15
27,108,88,20
27,108,96,70
28,109,5,30
28,109,27,10
28,109,96,50
28,109,138,10
28,110,5,35
28,110,11,5
28,110,88,10
28,110,91,30
28,110,96,40
28,111,27,50
28,111,88,10
28,111,96,20
28,112,27,30
28,112,91,15
28,112,96,40
29,113,139,40
29,114,139,50
29,115,139,40
29,116,71,1
29,116,113,15
29,116,124,10
29,116,135,5
29,116,139,50
30,117,138,20
30,118,138,20
30,119,138,20
30,120,25,20
30,120,120,15
30,120,121,5
30,120,124,1
30,120,138,15
30,120,16,2
30,120,52,1
30,120,98,1
31,121,48,90
31,121,65,1
31,121,66,15
31,121,129,100
31,122,48,100
31,122,65,1
31,122,66,10
31,122,129,100
31,123,48,100
31,123,65,1
31,123,66,10
31,123,129,100
31,124,66,10
31,124,129,100
32,125,48,100
32,125,66,15
32,125,112,5
32,125,129,100
32,126,48,100
32,126,66,20
32,126,129,100
32,127,48,100
32,127,66,15
32,127,129,100
32,128,48,100
32,128,66,10
32,128,129,100
33,129,20,50
33,129,75,10
33,129,87,15
33,129,96,40
33,129,104,10
33,130,3,5
33,130,7,1
33,130,20,70
33,130,29,3
33,130,32,10
33,130,75,5
33,130,96,20
33,130,155,20
33,131,7,2
33,131,20,65
33,131,56,8
33,131,96,30
33,131,104,7
33,131,124,6
33,131,155,10
33,131,148,4
33,132,7,2
33,132,13,1
33,132,19,10
33,132,20,50
33,132,56,10
33,132,96,40
33,132,104,10
33,132,124,5
33,132,155,2
33,132,148,5
34,133,20,35
34,133,75,30
34,133,96,40
34,134,20,60
34,134,27,2
34,134,87,10
34,134,96,20
34,135,19,5
34,135,20,65
34,135,27,15
34,135,96,40
34,136,19,12
34,136,20,90
34,136,27,5
34,136,96,15
35,137,20,5
35,137,27,5
35,137,75,90
35,137,96,5
35,137,113,3
35,137,124,30
35,137,49,1
35,138,27,10
35,138,71,1
35,138,72,5
35,138,75,1
35,138,96,5
35,138,109,5
35,138,120,6
35,138,124,20
35,139,6,10
35,139,7,5
35,139,24,10
35,139,27,5
35,139,32,25
35,139,71,2
35,139,75,2
35,139,96,10
35,139,124,20
35,140,3,10
35,140,7,5
35,140,13,5
35,140,30,1
35,140,75,10
35,140,96,5
35,140,156,20
35,140,107,5
35,140,109,5
35,140,124,15
35,140,116,10
36,141,24,10
36,141,27,10
36,141,71,15
36,141,72,2
36,141,91,90
36,141,124,15
36,141,135,15
36,142,7,5
36,142,27,5
36,142,71,1
36,142,91,100
36,142,124,7
36,142,135,2
36,143,27,15
36,143,91,90
36,143,107,5
36,143,124,20
36,143,138,5
36,143,90,7
36,144,27,5
36,144,91,100
36,144,124,20
36,144,135,5
37,145,40,5
37,145,91,5
37,145,109,15
37,145,113,10
37,145,124,20
37,145,49,3
37,145,98,10
37,145,116,3
37,146,75,20
37,146,91,30
37,146,109,15
37,146,113,5
37,146,124,35
37,147,27,10
37,147,75,15
37,147,91,15
37,147,109,20
37,147,113,20
37,147,124,25
37,148,38,20
37,148,62,10
37,148,113,20
37,148,49,1
38,149,2,25
38,149,27,10
38,149,40,15
38,149,71,2
38,149,75,30
38,149,91,10
38,149,113,20
38,149,124,25
38,149,134,1
38,149,138,5
38,150,2,5
38,150,27,50
38,150,71,5
38,150,124,40
38,151,24,5
38,151,71,5
38,151,91,50
38,151,113,40
38,151,124,70
38,151,138,10
38,152,24,5
38,152,71,5
38,152,113,30
38,152,114,50
38,152,124,30
39,153,26,60
39,153,129,40
39,154,26,20
39,154,129,20
39,155,26,10
39,155,129,50
39,156,26,10
39,156,129,40
40,157,26,15
40,157,65,1
40,157,129,80
40,158,26,5
40,158,129,100
40,159,26,5
40,159,129,100
40,160,26,30
40,160,129,80
41,161,20,40
41,161,27,15
41,161,32,5
41,161,56,5
41,161,91,8
41,161,96,30
41,161,120,15
41,161,146,10
41,162,11,3
41,162,20,40
41,162,32,5
41,162,96,30
41,162,120,35
41,162,146,20
41,163,11,3
41,163,12,5
41,163,20,10
41,163,32,15
41,163,91,5
41,163,96,60
41,163,104,5
41,163,120,35
41,163,146,5
41,164,11,5
41,164,12,5
41,164,20,15
41,164,32,8
41,164,91,40
41,164,96,50
41,164,104,10
41,164,120,10
42,165,20,25
42,165,96,45
42,165,104,20
42,165,120,30
42,165,146,1
42,166,20,25
42,166,91,5
42,166,96,45
42,166,104,20
42,166,120,30
42,166,146,1
42,167,11,3
42,167,20,15
42,167,91,70
42,167,96,15
42,167,104,10
42,167,120,25
42,167,146,1
42,168,27,1
42,168,91,35
42,168,96,55
42,168,104,10
42,168,120,25
43,169,27,15
43,169,91,95
43,169,139,5
43,169,142,20
43,170,27,35
43,170,165,5
43,170,91,100
43,170,142,25
43,170,90,10
43,171,27,20
43,171,91,100
43,171,107,30
43,171,142,35
43,172,91,70
43,172,107,90
43,172,121,20
44,173,91,100
44,173,135,5
44,173,16,5
44,174,71,8
44,174,91,80
44,174,135,10
44,174,138,5
44,174,139,5
44,174,90,10
44,175,27,30
44,175,71,1
44,175,91,35
44,175,107,20
44,175,135,10
44,175,138,10
44,175,49,2
44,176,7,10
44,176,27,10
44,176,91,95
44,176,107,20
44,176,135,5
45,177,124,5
45,177,139,40
45,178,139,50
45,179,113,5
45,179,124,5
45,179,139,40
45,180,71,1
45,180,113,15
45,180,124,10
45,180,135,5
45,180,139,50
46,181,138,20
46,182,138,20
46,183,138,20
46,184,25,20
46,184,120,15
46,184,21,5
46,184,124,1
46,184,138,15
46,184,16,2
46,184,52,1
46,184,98,1
47,185,26,100
47,185,48,90
47,185,66,15
47,186,26,100
47,186,48,100
47,186,65,1
47,186,66,10
47,187,26,100
47,187,48,100
47,187,65,1
47,187,66,10
47,188,26,100
47,188,48,100
47,188,66,10
48,189,26,100
48,189,48,100
48,189,66,15
48,189,129,5
48,190,26,100
48,190,48,100
48,190,66,30
48,191,26,100
48,191,48,100
48,191,66,15
48,192,26,100
48,192,48,100
48,192,66,10
49,193,5,80
49,193,96,10
49,194,5,70
49,194,12,3
49,194,88,1
49,194,96,15
49,195,5,60
49,195,88,30
49,195,96,10
49,196,5,70
49,196,27,8
49,196,88,5
49,196,96,5
49,196,16,30
50,197,5,40
50,197,18,25
50,197,20,10
50,197,27,25
50,197,88,30
50,198,5,60
50,198,18,10
50,198,20,15
50,198,88,20
50,199,5,50
50,199,11,5
50,199,18,10
50,199,27,10
50,199,88,20
50,200,5,50
50,200,20,10
50,200,27,20
50,200,88,25
50,200,96,10
51,201,71,10
51,201,91,40
51,201,113,5
51,201,135,25
51,201,138,5
51,202,71,10
51,202,91,100
51,202,113,5
51,203,71,20
51,203,91,25
51,203,96,5
51,203,124,1
51,203,135,10
51,203,138,20
51,203,16,5
51,203,90,5
51,203,116,30
51,204,71,5
51,204,91,50
51,204,114,5
51,204,135,20
51,204,16,15
52,205,20,80
52,205,93,15
52,205,135,5
52,205,138,70
52,205,90,25
52,206,20,80
52,206,93,5
52,206,90,40
52,207,20,70
52,207,71,5
52,207,90,60
52,208,7,5
52,208,20,70
52,208,124,30
52,208,138,5
52,208,16,25
53,209,65,45
53,209,138,80
53,210,65,35
53,210,138,75
53,211,65,30
53,211,138,65
53,212,65,25
53,212,138,75
54,213,65,30
54,213,138,70
54,214,65,20
54,214,138,90
54,215,65,70
54,215,138,60
54,216,65,15
54,216,138,80
55,217,26,100
55,217,48,10
55,217,65,15
55,217,66,20
55,217,129,5
55,218,26,30
55,218,65,1
55,218,66,15
55,219,26,100
55,219,65,3
55,219,66,10
55,220,26,60
55,220,66,20
56,221,26,100
56,221,65,20
56,221,66,15
56,222,26,90
56,222,65,15
56,222,66,30
56,223,26,80
56,223,66,20
56,224,26,60
56,224,65,5
56,224,66,30
57,225,20,100
57,226,20,100
57,227,20,95
57,228,20,95
57,228,29,5
57,228,70,1
57,228,97,50
58,229,2,10
58,229,20,30
58,229,27,1
58,229,29,10
58,230,2,45
58,230,20,10
58,230,27,15
58,230,36,15
58,230,76,35
58,231,2,25
58,231,20,75
58,231,29,5
58,231,56,2
58,231,75,5
58,232,2,20
58,232,20,65
58,232,29,15
59,233,91,100
59,234,11,4
59,234,91,80
59,235,91,80
59,236,91,95
60,237,91,55
60,237,90,2
60,237,116,1
60,238,91,100
60,239,91,100
60,240,91,95
61,241,65,30
61,241,91,2
61,241,102,1
61,241,138,80
61,242,48,85
61,242,91,2
61,242,102,1
61,242,138,70
61,243,48,30
61,243,91,25
61,243,138,70
61,244,91,1
61,244,138,80
61,244,135,3
62,245,65,75
62,245,91,5
62,245,140,90
62,246,65,90
62,246,91,15
62,246,102,1
62,246,140,65
62,247,65,80
62,247,140,75
62,248,65,40
62,248,91,3
62,248,102,1
62,248,140,80
63,249,65,20
63,249,129,100
63,250,26,2
63,250,48,25
63,250,65,30
63,250,129,100
63,251,26,10
63,251,65,10
63,251,129,100
63,252,26,2
63,252,48,2
63,252,65,50
63,252,129,100
63,252,162,1
64,253,26,10
64,253,65,15
64,253,129,100
64,254,26,50
64,254,48,15
64,254,65,15
64,254,129,100
64,255,26,30
64,255,48,10
64,255,65,15
64,255,129,100
64,256,26,45
64,256,48,20
64,256,65,15
64,256,129,100
65,257,2,12
65,257,4,7
65,257,11,1
65,257,20,50
65,257,27,5
65,257,157,1
65,257,36,2
65,257,32,1
65,257,160,1
65,258,2,15
65,258,4,5
65,258,11,20
65,258,20,20
65,258,27,5
65,258,36,5
65,258,97,5
65,258,161,3
65,259,2,20
65,259,11,5
65,259,20,45
65,259,27,3
65,259,54,2
65,259,94,2
65,259,97,2
65,259,161,5
65,260,2,15
65,260,11,10
65,260,20,70
65,260,27,1
65,260,94,2
65,260,162,1
66,261,11,2
66,261,20,70
66,261,27,4
66,261,83,1
66,261,124,4
66,262,6,1
66,262,11,2
66,262,20,30
66,262,27,45
66,262,36,15
66,262,124,2
66,263,4,5
66,263,6,2
66,263,11,10
66,263,20,35
66,263,124,7
66,263,159,2
66,263,116,1
66,264,6,5
66,264,20,50
66,264,27,10
66,264,29,2
66,264,124,2
66,264,159,5
66,264,161,3
67,265,65,5
67,265,71,5
67,265,113,65
67,266,20,2
67,266,23,5
67,266,113,30
67,266,124,1
67,267,20,1
67,267,38,15
67,267,113,10
67,267,124,1
67,268,20,10
67,268,25,1
67,268,38,1
67,268,83,2
67,268,124,4
68,269,25,5
68,269,27,5
68,269,38,1
68,269,83,10
68,269,105,1
68,269,113,20
68,269,145,1
68,269,167,1
68,269,159,2
68,269,160,1
68,269,116,10
68,270,71,20
68,270,113,20
68,270,162,1
68,271,27,1
68,271,65,1
68,271,113,15
68,271,116,3
68,272,27,3
68,272,83,10
68,272,113,20
68,272,134,2
68,272,145,3
68,272,167,1
68,272,116,10
68,272,161,1
68,272,162,1
69,273,65,35
69,273,102,2
69,273,138,35
69,273,162,5
69,274,65,40
69,274,113,5
69,274,138,85
69,275,65,1
69,275,113,45
69,275,138,15
69,276,65,25
69,276,113,50
69,276,138,20
70,277,48,20
70,277,65,90
70,277,91,1
70,277,111,10
70,277,138,15
70,278,65,50
70,278,111,10
70,278,138,55
70,279,65,70
70,279,138,60
70,279,116,10
70,280,65,30
70,280,112,5
70,280,138,80
71,281,48,25
71,281,65,20
71,281,129,100
71,282,65,2
71,282,129,100
71,283,26,2
71,283,65,3
71,284,65,2
71,284,129,100
72,285,65,1
72,285,129,100
72,286,65,10
72,286,129,100
72,287,65,2
72,287,129,70
72,288,65,10
72,288,129,20
72,288,162,1
73,289,2,5
73,289,11,1
73,289,20,60
73,289,22,5
73,289,29,1
73,289,36,1
73,289,50,1
73,289,96,40
73,289,16,1
73,290,2,30
73,290,11,10
73,290,20,15
73,290,22,20
73,290,27,10
73,290,29,5
73,290,75,5
73,290,96,75
73,290,124,10
73,291,11,5
73,291,20,60
73,291,27,1
73,291,29,5
73,291,84,20
73,291,96,40
73,292,20,100
73,292,96,20
73,292,134,1
73,292,162,1
74,293,3,20
74,293,7,1
74,293,11,5
74,293,20,60
74,293,27,20
74,293,29,5
74,293,32,5
74,293,96,20
74,294,2,5
74,294,7,1
74,294,20,60
74,295,3,1
74,295,20,90
74,295,29,1
74,295,32,5
74,296,3,20
74,296,20,45
74,296,32,5
74,296,96,15
74,296,101,1
74,296,117,10
74,296,120,30
75,297,91,100
75,298,91,30
75,298,109,20
75,298,113,10
75,298,138,25
75,299,91,90
75,299,90,10
75,300,91,80
76,301,27,1
76,301,91,80
76,302,91,100
76,302,78,1
76,303,71,1
76,303,91,75
76,303,109,10
76,303,113,25
76,303,49,1
76,303,78,1
76,304,27,1
76,304,38,60
76,304,91,1
76,304,107,15
76,304,109,10
76,304,111,10
76,304,113,10
76,304,140,4
76,304,52,15
77,305,109,10
77,305,138,60
77,306,109,60
77,306,113,20
77,306,138,20
77,307,138,40
77,308,109,5
77,308,113,15
77,308,138,90
78,309,109,1
78,309,113,10
78,309,140,40
78,310,113,30
78,310,126,5
78,310,140,20
78,311,109,20
78,311,111,5
78,311,113,20
78,311,140,60
78,312,91,5
78,312,109,20
79,313,66,1
79,314,26,2
79,314,66,2
79,315,0,0
79,316,2,40
80,317,26,60
80,317,48,20
80,318,26,15
80,318,128,35
80,319,26,5
80,319,128,30
80,320,26,10
80,320,128,25
81,321,39,5
81,321,41,45
81,321,96,30
81,321,120,15
81,321,52,30
81,321,162,1
81,322,20,40
81,322,41,20
81,322,87,25
81,322,96,40
81,323,11,2
81,323,20,30
81,323,27,1
81,323,41,20
81,323,96,75
81,324,18,30
81,324,20,20
81,324,41,10
81,324,96,40
82,325,3,30
82,325,6,2
82,325,12,5
82,325,18,10
82,325,20,30
82,325,27,5
82,325,41,10
82,325,32,10
82,325,73,5
82,325,92,1
82,325,96,25
82,325,104,5
82,325,122,10
82,326,3,15
82,326,8,5
82,326,19,1
82,326,20,70
82,326,27,1
82,326,29,5
82,326,30,1
82,326,73,1
82,326,96,20
82,326,104,5
82,327,4,20
82,327,20,50
82,327,27,2
82,327,29,10
82,327,30,1
82,327,96,30
82,327,104,1
82,327,49,1
82,328,19,5
82,328,20,30
82,328,27,5
82,328,41,10
82,328,56,15
82,328,96,50
82,328,104,20
83,329,19,5
83,329,25,15
83,329,71,5
83,329,91,5
83,329,113,10
83,329,120,40
83,329,121,10
83,329,124,10
83,329,135,15
83,329,138,10
83,330,25,10
83,330,56,50
83,330,71,15
83,330,96,10
83,330,120,30
83,330,124,5
83,330,138,10
83,331,19,10
83,331,25,10
83,331,56,20
83,331,96,1
83,331,120,30
83,331,124,10
83,331,135,2
83,331,138,15
83,331,16,5
83,332,19,5
83,332,25,10
83,332,56,20
83,332,71,5
83,332,91,15
83,332,96,15
83,332,113,5
83,332,120,20
83,332,135,5
