SiteID,SiteName,Treatment,Date,Time,Collectors,Weather,TempF
1,Acheson,Tile,7/21/16,12:30,James&Jasmine,Hot,95
2,Beck,Control,7/20/16,8:00 AM,James&Jasmine,"Sunny, breezy",75
3,Buffalo Lake,Control,7/14/16,9:15 AM,James&Jasmine,"sunny, breezy",70
4,Eriksrud,Tile,7/19/16,10:20 AM,James&Jasmine,"Sunny, breezy",85
5,Fods Slough,Surface,7/21/16,9:35 AM,James&Jasmine,Hot,80
6,Gerdink,Tile,7/20/16,8:00 AM,James&Jasmine,Breezy,75
7,Haberger,Tile,7/20/16,1:40 PM,James&Jasmine,Hot,90
8,Healy Slough,Surface,6/25/16,10:30 AM,James&Jasmine,Overcast,65
9,Lake Vermillion,Control,6/24/16,,James&Jasmine,Windy,84
10,Lost Lake,Control,7/11/16,11:15,James&Jasmine,Overcast,80
11,Petri II,Tile,7/12/16,9:00 AM,James&Jasmine,Sunny ,75
12,Pettigrew,Control,7/13/16,2:00 PM,James&Jasmine,"Sunny, breezy",80
13,Pittenger,Control,7/18/16,1:50 PM,James&Jasmine,Sunny,85
14,Ramsey,Surface,7/20/16,10:40 PM,James&Jasmine,Sunny,85
15,Schaefer,Surface,7/14/16,12:40,James&Jasmine,Windy,70
16,Swartz,Tile,7/13/16,10:05 AM,James&Jasmine,"Sunny, breezy",80
17,Volker II,Tile,7/12/16,1:00 PM,James&Jasmine,Sunny,80
18,Ziegler,Surface,7/18/16,11:25 AM,James&Jasmine,Sunny,80
