SpeciesID,Species,CommonName,CoC,WetlandStatus
1,Agrostis gigantea,Redtop,*,FACW
2,Ambrosia artemisifolia,Ragweed,0,FACU
3,Ambrosia psilostachya,Western Ragweed,2,FAC
4,Amorpha canescens,Leadplant,9,UPL
5,Andropogon gerardii,Big Bluestem,5,FAC
6,Anemone canadense,Windflower,4,
7,Apocynum cannabinum,Dogbane,4,FAC
8,Artemisia ludoviciana,White Sagebrush,3,FACU
9,Arundo donax,,,
10,Asclepias incarnata,Swamp Milkweed,5,OBL
11,Asclepias syriaca,Common Milkweed,0,FAC
12,Asclepias tuberosa,Butterfly Weed,9,UPL
13,Aster ericoides,Heath Aster,2,FACU
14,Aster falcatus,White Prarie Aster,4,FAC
15,Aster novae-angliae,New England Aster,8,FACW
16,Aster sp. ,,,
17,Bean Sp. ,,,
18,Bouteloua curtipendula,SideOats Grandma,5,UPL
19,Brickellia eupatorioides,False Boneset,5,UPL
20,Bromus inermis,Smooth Brome,4,FACU
21,Bromus tectorum,Cheatgrass,*,UPL
22,Carduus nutans,Musk Thistle,*,UPL
23,Carex pellita,Wooly Sedge,1,OBL
24,Carex vulpinoidea,Fox Sedge,2,OBL
25,Centaurea repens,Russian Knapweed,*,UPL
26,Ceratophyllum demersum,Coontail,4,OBL
27,Cirsium arvense,Canada Thistle,*,FACU
28,Common Field Peppermint,,,
29,Convolvulus arvensis,Field Bindweed,*,UPL
30,Coreopsis tinctoria,Golden Tickseed,3,FAC
31,Cottonwood,,,
32,Cuscuta sp.,,,
33,Dactyloctenium aegyptium,,,
34,Dalea candida,White Prarie Clover,8,UPL
35,Dandelion ,,,
36,Dichanthelium oligosanthes,Scribner's Spring Panicum,6,FACU
37,Echinacea angustifolia,Purple Coneflower,7,UPL
38,Eleocharis palustris,Common Spikerush,,OBL
39,Elymus canadensis,Canada Wild Rye,3,FACU
40,Elymus elymoides,Squirreltail,,UPL
41,Elymus repens,Quackgrass,*,FAC
42,Elymus trachycaulus,Slender Wheatgrass,5,FACU
43,Elymus virginicus,Virginia Wild Rye,4,FAC
44,Euphorbia esula,Green (Leafy) Spurge,*,UPL
45,False Boneset,,,
46,Fern sp.,,,
47,Field Sow Thistle,,,
48,Fil. Green Algae,,,
49,Forb sp. ,,,
50,Fraxinus pennsylvanica,Green Ash,5,FACW
51,Goldenrod sp.,,,
52,Grass sp.,,,
53,Green needle grass,,,
54,Helianthus annuus,Common Sunflower,0,FACU
55,Helianthus grosseserratus,Sawtooth Sunflower,7,FACW
56,Helianthus maximiliani,Maximillion Sunflower,5,UPL
57,Helianthus pauciflorus,Prarie Sunflower,5,UPL
58,Hesperostipa comata,,,
59,Hordeum jubatum,Foxtail Barley,0,FACW
60,Horseweed,,,
61,Hybrid cat,,,
62,Juncus torreyi,Torreys Rush,2,FACW
63,Juniperus virginiana,Red Cedar,0,FACU
64,Lactuca serriola,Prickly Lettuce,*,FAC
65,Lemna minor,Duckweed,9,OBL
66,Lemna trisulca,Star Duckweed ,2,OBL
67,Lepidium draba,,,
68,Leucanthemum vulgare,Oxeye Daisy,5,UPL
69,Liatris aspera,Blazing Star,8,UPL
70,Lycopus americanus,American Water Horehound,4,OBL
71,Lycopus asper,Rough Bugleweed,4,OBL
72,Lythrum salicaria,Purple Loosestrife,*,OBL
73,Medicago lupulina,Black Medick,*,FAC
74,Medicago sativa,Alfalfa,*,UPL
75,Melilotus albus,White Sweetclover,*,FACU
76,Melilotus officinalis,Yellow Sweetclover,*,FACU
77,Milkvetch sp.,,,
78,Mint Sp. ,,,
79,Monarda fistulosa,Wild Bergamot,5,FACU
80,Morning Glory Vine,,,
81,Nightshade sp.,,,
82,Oencenthera sp.,,,
83,Oenothera sp.,,,
84,Onosmodium molle,Soft Haired Marbleseed,7,
85,Oxalis Sp.,,,
86,Oxalis stricta,Yellow Oxalis,0,FACU
87,Panicum capillare,Witchgrass,0,FACW
88,Panicum virgatum,Switchgrass,5,FAC
89,Persicaria lapathifolia,Pale Persicaria,,OBL
90,Persicaria sp.,,,
91,Phalaris arundinacea,Reed Canary Grass,0,FACW
92,Phleum pratense,Timothy,*,FACU
93,Phragmites australis,Common Reed,0,FACW
94,Physalis sp.,,,
95,Poa annua,,,
96,Poa pratensis,Kentucky Bluegrass,*,FACU
97,Poa sp. ,,,
98,Polygonum sp.,,,
99,Pondweed sp.,,,
100,Prunis Sp.,,,
101,Psoralea argophylla,Silverleaf Indian Breadroot,4,UPL
102,Ranunculus sceleratus,Cursed Buttercup,3,OBL
103,River Bulrush,,,
104,Rosa Arkansana,,,
105,Rumex sp. ,,,
106,Rush sp.,,,
107,Salix exigua,Narrowleaf Willow,3,OBL
108,Schizachyrium scoparium,Little Bluestem,4,FACU
109,Schoenoplectus acutus,Hardstem Bulrush,1, OBL
110,Schoenoplectus americanus,,,
111,Schoenoplectus tabernaemontani,Softstem Bulrush,1, OBL
112,Scirpus pallidus,Pale Bulrush,5,OBL
113,Scribner Dichanthuium,,,
114,Sedge Sp.,,,
115,Silphium laciniatum,Compass Plant,8,UPL
116,Silphium perfoliatum,Cup Plant,6,FAC
117,Sium suave,Water Parsnip,3,OBL
118,Solidago canadensis,Canada Goldenrod,1,FACU
119,Solidago gigantea,Giant Goldenrod,4,FACW
120,Solidago mollis,Velvety Goldenrod,6,UPL
121,Solidago rigida,Stiff Goldenrod,4,FACU
122,Sonchus arvensis,Sowthistle,*,FAC
123,Sorghastrum nutans,Indian Grass,6,FACU
124,Sparganium eurycarpum,Giant Bur-reed,4,OBL
125,Stachys pilosa,Hairy Hedgenettle,3,OBL
126,Stuckenia filiformis,,,
127,Stuckenia pectinata,Sago Pondweed,1, OBL
